held_out_pair_id,contrast,feature,mean_difference_without_pair,full_mean_difference
dyad_001,S1_vs_S2S3S4_mean,any_partner_gaze_count_session_mean,14.483370047386893,13.225091651470603
dyad_002,S1_vs_S2S3S4_mean,any_partner_gaze_count_session_mean,14.369830253847098,13.225091651470603
dyad_003,S1_vs_S2S3S4_mean,any_partner_gaze_count_session_mean,13.732783586242926,13.225091651470603
dyad_004,S1_vs_S2S3S4_mean,any_partner_gaze_count_session_mean,12.22407989309674,13.225091651470603
dyad_005,S1_vs_S2S3S4_mean,any_partner_gaze_count_session_mean,13.067500443134936,13.225091651470603
dyad_006,S1_vs_S2S3S4_mean,any_partner_gaze_count_session_mean,12.840436065659807,13.225091651470603
dyad_007,S1_vs_S2S3S4_mean,any_partner_gaze_count_session_mean,14.55179714435847,13.225091651470603
dyad_008,S1_vs_S2S3S4_mean,any_partner_gaze_count_session_mean,10.333963930079657,13.225091651470603
dyad_009,S1_vs_S2S3S4_mean,any_partner_gaze_count_session_mean,14.467651136667982,13.225091651470603
dyad_010,S1_vs_S2S3S4_mean,any_partner_gaze_count_session_mean,13.268120580078602,13.225091651470603
dyad_011,S1_vs_S2S3S4_mean,any_partner_gaze_count_session_mean,12.13647508562351,13.225091651470603
dyad_001,S1_vs_S2,frame_interaction_valid_ratio_session_mean,0.12194465529887429,0.11227032895598255
dyad_002,S1_vs_S2,frame_interaction_valid_ratio_session_mean,0.11584021899443793,0.11227032895598255
dyad_003,S1_vs_S2,frame_interaction_valid_ratio_session_mean,0.1152408112711496,0.11227032895598255
dyad_004,S1_vs_S2,frame_interaction_valid_ratio_session_mean,0.11570292171133682,0.11227032895598255
dyad_005,S1_vs_S2,frame_interaction_valid_ratio_session_mean,0.11983276557828886,0.11227032895598255
dyad_006,S1_vs_S2,frame_interaction_valid_ratio_session_mean,0.12482201202649332,0.11227032895598255
dyad_007,S1_vs_S2,frame_interaction_valid_ratio_session_mean,0.11721824550394835,0.11227032895598255
dyad_008,S1_vs_S2,frame_interaction_valid_ratio_session_mean,0.08338545708967601,0.11227032895598255
dyad_009,S1_vs_S2,frame_interaction_valid_ratio_session_mean,0.11306040898962792,0.11227032895598255
dyad_010,S1_vs_S2,frame_interaction_valid_ratio_session_mean,0.12179147949863962,0.11227032895598255
dyad_011,S1_vs_S2,frame_interaction_valid_ratio_session_mean,0.0861346425533352,0.11227032895598255
dyad_001,S1_vs_S2,frame_pose_valid_ratio_session_mean,0.12194465529887429,0.11227032895598255
dyad_002,S1_vs_S2,frame_pose_valid_ratio_session_mean,0.11584021899443793,0.11227032895598255
