held_out_pair_id,contrast,feature,mean_difference_without_pair,full_mean_difference
dyad_004,S1_vs_S2S3S4_mean,p2_task_gaze_transition_count_session_mean,0.2592042260899752,0.2599688785631132
dyad_005,S1_vs_S2S3S4_mean,p2_task_gaze_transition_count_session_mean,0.26600736654459906,0.2599688785631132
dyad_006,S1_vs_S2S3S4_mean,p2_task_gaze_transition_count_session_mean,0.25393316202148053,0.2599688785631132
dyad_007,S1_vs_S2S3S4_mean,p2_task_gaze_transition_count_session_mean,0.2992413406955431,0.2599688785631132
dyad_008,S1_vs_S2S3S4_mean,p2_task_gaze_transition_count_session_mean,0.24334758032439563,0.2599688785631132
dyad_009,S1_vs_S2S3S4_mean,p2_task_gaze_transition_count_session_mean,0.27982098527464333,0.2599688785631132
dyad_010,S1_vs_S2S3S4_mean,p2_task_gaze_transition_count_session_mean,0.2704984102461859,0.2599688785631132
dyad_011,S1_vs_S2S3S4_mean,p2_task_gaze_transition_count_session_mean,0.2646581256146877,0.2599688785631132
dyad_001,S1_vs_S4,p1_task_gaze_transition_count_session_mean,0.3225252114373137,0.3253079479913173
dyad_002,S1_vs_S4,p1_task_gaze_transition_count_session_mean,0.34181330012240707,0.3253079479913173
dyad_003,S1_vs_S4,p1_task_gaze_transition_count_session_mean,0.3430389592406654,0.3253079479913173
dyad_004,S1_vs_S4,p1_task_gaze_transition_count_session_mean,0.33059786964304616,0.3253079479913173
dyad_005,S1_vs_S4,p1_task_gaze_transition_count_session_mean,0.3189296150835071,0.3253079479913173
dyad_006,S1_vs_S4,p1_task_gaze_transition_count_session_mean,0.32763506668513354,0.3253079479913173
dyad_007,S1_vs_S4,p1_task_gaze_transition_count_session_mean,0.32816054133574324,0.3253079479913173
dyad_008,S1_vs_S4,p1_task_gaze_transition_count_session_mean,0.2836391804981575,0.3253079479913173
dyad_009,S1_vs_S4,p1_task_gaze_transition_count_session_mean,0.3736299885816948,0.3253079479913173
dyad_010,S1_vs_S4,p1_task_gaze_transition_count_session_mean,0.2877068746585809,0.3253079479913173
dyad_011,S1_vs_S4,p1_task_gaze_transition_count_session_mean,0.3207108206182405,0.3253079479913173
dyad_001,S1_vs_S2,frame_pose_valid_ratio_session_mean,0.11885296112558666,0.11078958319781172
dyad_002,S1_vs_S2,frame_pose_valid_ratio_session_mean,0.1130530975021489,0.11078958319781172
dyad_003,S1_vs_S2,frame_pose_valid_ratio_session_mean,0.1134558431048945,0.11078958319781172
dyad_004,S1_vs_S2,frame_pose_valid_ratio_session_mean,0.11457459448771128,0.11078958319781172
dyad_005,S1_vs_S2,frame_pose_valid_ratio_session_mean,0.11828982822873468,0.11078958319781172
dyad_006,S1_vs_S2,frame_pose_valid_ratio_session_mean,0.12284119002104274,0.11078958319781172
dyad_007,S1_vs_S2,frame_pose_valid_ratio_session_mean,0.1159159553932368,0.11078958319781172
dyad_008,S1_vs_S2,frame_pose_valid_ratio_session_mean,0.083405723513679,0.11078958319781172
dyad_009,S1_vs_S2,frame_pose_valid_ratio_session_mean,0.11143158865564004,0.11078958319781172
dyad_010,S1_vs_S2,frame_pose_valid_ratio_session_mean,0.12139342839542096,0.11078958319781172
dyad_011,S1_vs_S2,frame_pose_valid_ratio_session_mean,0.08547120474783346,0.11078958319781172
dyad_001,S1_vs_S2,p1_partner_gaze_ratio_session_mean,0.0946831273252103,0.09586932533654903
dyad_002,S1_vs_S2,p1_partner_gaze_ratio_session_mean,0.11153296314690922,0.09586932533654903
dyad_003,S1_vs_S2,p1_partner_gaze_ratio_session_mean,0.10303959120353727,0.09586932533654903
dyad_004,S1_vs_S2,p1_partner_gaze_ratio_session_mean,0.1019032591524939,0.09586932533654903
dyad_005,S1_vs_S2,p1_partner_gaze_ratio_session_mean,0.08291580851816041,0.09586932533654903
dyad_006,S1_vs_S2,p1_partner_gaze_ratio_session_mean,0.09917052903840037,0.09586932533654903
dyad_007,S1_vs_S2,p1_partner_gaze_ratio_session_mean,0.09825681632299045,0.09586932533654903
dyad_008,S1_vs_S2,p1_partner_gaze_ratio_session_mean,0.07991413691223172,0.09586932533654903
