window_size_s,test,contrast,feature,n_pairs,mean_difference,median_difference,cohen_dz,rank_biserial,p_value,permutation_p_value,q_value,friedman_statistic,direction
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2S3S4_mean,p2_gaze_category_away_unknown_ratio_session_mean,11,-0.06707036556801445,-0.04210257933942152,-0.9741543996369724,-1.0,0.0009765625,0.0014641288433382138,0.20687705592105263,,lower_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2S3S4_mean,any_partner_gaze_count_session_mean,11,5.213785198093907,5.077922333094746,1.097797303090551,1.0,0.0009765625,0.0014641288433382138,0.20687705592105263,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S4,p1_task_gaze_transition_count_session_mean,11,0.6689947997555243,0.6109029461464992,1.3699693637603751,0.9696969696969697,0.001953125,0.002440214738897023,0.20687705592105263,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2S3S4_mean,p1_task_gaze_transition_count_session_mean,11,0.5243271370341568,0.47192151139519556,1.3661331635101668,0.9696969696969697,0.001953125,0.002440214738897023,0.20687705592105263,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2S3S4_mean,p2_task_gaze_transition_count_session_mean,11,0.543319174531181,0.5695861678004537,1.4009803509748724,0.9393939393939394,0.0029296875,0.003416300634455832,0.20687705592105263,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2,frame_pose_valid_ratio_session_mean,11,0.11096010272520411,0.07436700613970171,0.8620750890447365,0.9393939393939394,0.0029296875,0.003416300634455832,0.20687705592105263,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2,frame_interaction_valid_ratio_session_mean,11,0.11096010272520411,0.07436700613970171,0.8620750890447365,0.9393939393939394,0.0029296875,0.003416300634455832,0.20687705592105263,,higher_in_competitive_or_later
2.0,friedman_S1_to_S4,S1_S2_S3_S4,hand_to_hand_min_max_session_mean,11,-0.05637095841773698,-0.037483605101419126,,,0.003912713985102566,,0.20687705592105263,13.363636363636346,lower_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2,p1_gaze_category_partner_ratio_session_mean,11,0.07421756652675053,0.06616318037471536,1.2327704297137727,0.9090909090909091,0.0048828125,0.004392386530014641,0.20687705592105263,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2,any_partner_gaze_ratio_session_mean,11,0.10907789308196031,0.10430527497194164,1.1353365000730893,0.9090909090909091,0.0048828125,0.005368472425573451,0.20687705592105263,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S3,hand_to_hand_min_max_session_mean,11,-0.08352977816204257,-0.06110182708854173,-0.994290954671617,-0.9090909090909091,0.0048828125,0.005368472425573451,0.20687705592105263,,lower_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2,any_partner_gaze_count_session_mean,11,5.233166657483,4.9034013605442155,1.0886338384238088,0.9090909090909091,0.0048828125,0.005368472425573451,0.20687705592105263,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S3,hand_to_hand_min_min_session_mean,11,-0.09618778469643757,-0.12063755972920337,-1.2734152229218447,-0.9090909090909091,0.0048828125,0.00634455832113226,0.20687705592105263,,lower_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S4,p1_gaze_yaw_std_session_mean,11,0.024090642816432185,0.02102603131592068,0.8898581039779222,0.9090909090909091,0.0048828125,0.005368472425573451,0.20687705592105263,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S4,gaze_yaw_difference_rad_std_session_mean,11,0.017797765791822406,0.012851423239867488,1.0148549534946407,0.9090909090909091,0.0048828125,0.005368472425573451,0.20687705592105263,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S3,p2_gaze_pitch_max_session_mean,11,0.06294232501435261,0.07128726439584694,1.2557152261897282,0.9090909090909091,0.0048828125,0.005368472425573451,0.20687705592105263,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2,p2_gaze_pitch_max_session_mean,11,0.05574898033774945,0.05919601404140566,1.358565347937759,0.9090909090909091,0.0048828125,0.004392386530014641,0.20687705592105263,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2S3S4_mean,any_partner_gaze_ratio_session_mean,11,0.10544768460988148,0.10657167417512248,1.065395371711036,0.9090909090909091,0.0048828125,0.00634455832113226,0.20687705592105263,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2S3S4_mean,partner_gaze_ratio_mean_session_mean,11,0.048279838212808124,0.03946036837162997,1.016106462876904,0.9090909090909091,0.0048828125,0.004392386530014641,0.20687705592105263,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2,p1_partner_gaze_ratio_session_mean,11,0.09570429040615003,0.07211570828815456,1.1214115289973958,0.8787878787878788,0.0068359375,0.005368472425573451,0.25013316761363635,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2S3S4_mean,p2_gaze_pitch_max_session_mean,11,0.05280311219002583,0.06100939491136197,1.3191303577727427,0.8787878787878788,0.0068359375,0.005368472425573451,0.25013316761363635,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2,p1_partner_gaze_count_session_mean,11,4.707581955123892,4.730893701767489,1.1173396336895665,0.8787878787878788,0.0068359375,0.00634455832113226,0.25013316761363635,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S3,any_partner_gaze_count_session_mean,11,5.859844180244096,5.969047619047622,1.052951522009636,0.8484848484848485,0.009765625,0.008296730112249878,0.2535912298387097,,higher_in_competitive_or_later
2.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2,p1_task_gaze_transition_count_session_mean,11,0.5508629525371443,0.3922779922779922,1.0431555403074961,0.8484848484848485,0.009765625,0.010248901903367497,0.2535912298387097,,higher_in_competitive_or_later
