window_size_s,test,contrast,feature,n_pairs,mean_difference,median_difference,cohen_dz,rank_biserial,p_value,permutation_p_value,q_value,friedman_statistic,direction
1.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2S3S4_mean,any_partner_gaze_count_session_mean,11,2.607501406950681,2.5537427278603735,1.092184108683637,1.0,0.0009765625,0.0014641288433382138,0.25916466346153844,,higher_in_competitive_or_later
1.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2S3S4_mean,p1_task_gaze_transition_count_session_mean,11,0.24996606103213106,0.21482240363106775,1.3602158860419213,0.9696969696969697,0.001953125,0.002440214738897023,0.25916466346153844,,higher_in_competitive_or_later
1.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2S3S4_mean,p2_gaze_category_away_unknown_ratio_session_mean,11,-0.06678875662158656,-0.03904280904280899,-0.9700766382582546,-0.9696969696969697,0.001953125,0.002440214738897023,0.25916466346153844,,lower_in_competitive_or_later
1.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2,frame_pose_valid_ratio_session_mean,11,0.11078958319781172,0.0729394702988162,0.8605772999532689,0.9393939393939394,0.0029296875,0.003416300634455832,0.25916466346153844,,higher_in_competitive_or_later
1.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2,frame_interaction_valid_ratio_session_mean,11,0.11078958319781172,0.0729394702988162,0.8605772999532689,0.9393939393939394,0.0029296875,0.003416300634455832,0.25916466346153844,,higher_in_competitive_or_later
1.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S4,p1_task_gaze_transition_count_session_mean,11,0.3253079479913173,0.30203676105315447,1.3721113169946964,0.9393939393939394,0.0029296875,0.003416300634455832,0.25916466346153844,,higher_in_competitive_or_later
1.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2S3S4_mean,p2_task_gaze_transition_count_session_mean,11,0.2599688785631132,0.2676154032944933,1.377324041814063,0.9393939393939394,0.0029296875,0.003416300634455832,0.25916466346153844,,higher_in_competitive_or_later
1.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S3,hand_to_hand_min_min_session_mean,11,-0.08373438326838611,-0.08848942335314142,-1.2384758633764321,-0.9090909090909091,0.0048828125,0.00634455832113226,0.25916466346153844,,lower_in_competitive_or_later
1.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S3,p2_gaze_pitch_max_session_mean,11,0.055384607068609565,0.06783154751481608,1.1994505202014842,0.9090909090909091,0.0048828125,0.005368472425573451,0.25916466346153844,,higher_in_competitive_or_later
1.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2,p1_partner_gaze_ratio_session_mean,11,0.09586932533654903,0.07199441547213509,1.1209884301363602,0.9090909090909091,0.0048828125,0.005368472425573451,0.25916466346153844,,higher_in_competitive_or_later
1.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2,any_partner_gaze_ratio_session_mean,11,0.10978903741969091,0.1043052749719417,1.1355614389085213,0.9090909090909091,0.0048828125,0.005368472425573451,0.25916466346153844,,higher_in_competitive_or_later
1.0,wilcoxon_signed_rank_plus_sign_permutation,S1_vs_S2,any_partner_gaze_count_session_mean,11,2.63401497343042,2.6451433032229286,1.091772596668823,0.9090909090909091,0.0048828125,0.005368472425573451,0.25916466346153844,,higher_in_competitive_or_later
