pair_id,session_id,order,condition_label,window_size_s,from_token,to_token,count
dyad_004,20260507_143033_order3,3,competitive,1.0,BT01,BT01,105
dyad_004,20260507_143442_order4,4,competitive,1.0,BT00,BT00,9
dyad_004,20260507_143442_order4,4,competitive,1.0,BT00,BT01,8
dyad_004,20260507_143442_order4,4,competitive,1.0,BT01,BT00,8
dyad_004,20260507_143442_order4,4,competitive,1.0,BT01,BT01,23
dyad_005,20260507_151153_order1,1,baseline,1.0,BT00,BT00,26
dyad_005,20260507_151153_order1,1,baseline,1.0,BT00,BT01,16
dyad_005,20260507_151153_order1,1,baseline,1.0,BT01,BT00,16
dyad_005,20260507_151153_order1,1,baseline,1.0,BT01,BT01,22
dyad_005,20260507_151733_order2,2,competitive,1.0,BT00,BT00,85
dyad_005,20260507_151733_order2,2,competitive,1.0,BT00,BT01,18
dyad_005,20260507_151733_order2,2,competitive,1.0,BT01,BT00,18
dyad_005,20260507_151733_order2,2,competitive,1.0,BT01,BT01,18
dyad_005,20260507_152058_order3,3,competitive,1.0,BT00,BT00,47
dyad_005,20260507_152058_order3,3,competitive,1.0,BT00,BT01,9
dyad_005,20260507_152058_order3,3,competitive,1.0,BT01,BT00,9
dyad_005,20260507_152058_order3,3,competitive,1.0,BT01,BT01,19
dyad_005,20260507_152317_order4,4,competitive,1.0,BT00,BT00,58
dyad_005,20260507_152317_order4,4,competitive,1.0,BT00,BT01,17
dyad_005,20260507_152317_order4,4,competitive,1.0,BT01,BT00,17
dyad_005,20260507_152317_order4,4,competitive,1.0,BT01,BT01,29
dyad_006,20260507_154437_order1,1,baseline,1.0,BT00,BT00,42
dyad_006,20260507_154437_order1,1,baseline,1.0,BT00,BT01,7
dyad_006,20260507_154437_order1,1,baseline,1.0,BT01,BT00,6
dyad_006,20260507_154437_order1,1,baseline,1.0,BT01,BT01,5
dyad_006,20260507_154803_order2,2,competitive,1.0,BT00,BT00,234
dyad_006,20260507_154803_order2,2,competitive,1.0,BT00,BT01,19
dyad_006,20260507_154803_order2,2,competitive,1.0,BT01,BT00,19
dyad_006,20260507_154803_order2,2,competitive,1.0,BT01,BT01,21
dyad_006,20260507_155406_order3,3,competitive,1.0,BT00,BT00,58
dyad_006,20260507_155406_order3,3,competitive,1.0,BT00,BT01,7
dyad_006,20260507_155406_order3,3,competitive,1.0,BT01,BT00,6
dyad_006,20260507_155406_order3,3,competitive,1.0,BT01,BT01,5
dyad_006,20260507_155542_order4,4,competitive,1.0,BT00,BT00,24
dyad_006,20260507_155542_order4,4,competitive,1.0,BT00,BT01,3
dyad_006,20260507_155542_order4,4,competitive,1.0,BT01,BT00,3
dyad_006,20260507_155542_order4,4,competitive,1.0,BT01,BT01,2
dyad_007,20260510_112436_order1,1,baseline,1.0,BT00,BT00,69
