true_label,pred_label,count
1,1,1024
1,2,574
1,3,181
1,4,369
2,1,773
2,2,508
2,3,169
2,4,481
3,1,446
3,2,297
3,3,89
3,4,324
4,1,632
4,2,354
4,3,241
4,4,892
