true_label,pred_label,count
1,1,162
1,2,126
1,3,63
1,4,75
2,1,163
2,2,89
2,3,70
2,4,61
3,1,78
3,2,55
3,3,46
3,4,48
4,1,132
4,2,61
4,3,83
4,4,143
