true_label,pred_label,count
1,1,1035
1,2,407
1,3,238
1,4,468
2,1,657
2,2,470
2,3,270
2,4,534
3,1,326
3,2,275
3,3,173
3,4,382
4,1,499
4,2,333
4,3,406
4,4,881
