true_label,pred_label,count
1,1,1009
1,2,492
1,3,210
1,4,437
2,1,842
2,2,333
2,3,227
2,4,529
3,1,353
3,2,228
3,3,191
3,4,384
4,1,477
4,2,269
4,3,250
4,4,1123
