true_label,pred_label,count
1,1,935
1,2,566
1,3,381
1,4,266
2,1,712
2,2,447
2,3,306
2,4,466
3,1,396
3,2,302
3,3,181
3,4,277
4,1,449
4,2,348
4,3,439
4,4,883
