true_label,pred_label,count
1,1,210
1,2,103
1,3,48
1,4,65
2,1,113
2,2,118
2,3,60
2,4,92
3,1,67
3,2,63
3,3,46
3,4,51
4,1,97
4,2,180
4,3,67
4,4,75
