true_label,pred_label,count
1,1,879
1,2,583
1,3,336
1,4,350
2,1,819
2,2,394
2,3,312
2,4,406
3,1,391
3,2,245
3,3,247
3,4,273
4,1,677
4,2,301
4,3,377
4,4,764
