true_label,pred_label,count
1,1,647
1,2,0
1,3,0
1,4,1501
2,1,1258
2,2,0
2,3,0
2,4,673
3,1,715
3,2,0
3,3,0
3,4,441
4,1,1845
4,2,0
4,3,0
4,4,274
