feature,importance_mean,importance_std,window_size_s,model
mutual_gaze_cos_max,0.0015811865648169183,0.000899630475412201,5.0,random_forest
p1_partner_gaze_ratio,0.0015800609871568598,0.0008567660455226526,5.0,random_forest
p1_gaze_yaw_min,0.0015625928384517263,0.0009973574252123286,5.0,random_forest
p1_motion_speed_mean,0.0015532700860393378,0.0008527128336541586,5.0,random_forest
p2_task_gaze_angle_max,0.001535666423708217,0.0015049791607924326,5.0,random_forest
p1_gaze_category_partner_ratio,0.001517811123999661,0.0010951260559567942,5.0,random_forest
any_partner_gaze_ratio,0.0014631263922448383,0.001466459986367453,5.0,random_forest
mutual_gaze_event_ratio,0.0014616742256257271,0.0005665925435044345,5.0,random_forest
p2_task_gaze_angle_std,0.001436857090362953,0.0016835683048100824,5.0,random_forest
gaze_yaw_difference_rad_max,0.001426281408077749,0.0014486462693869054,5.0,random_forest
mutual_gaze_cos_mean,0.0014078471881361354,0.0010985204111074191,5.0,random_forest
movement_intensity_mean,0.0013899317600129524,0.0005656600893182842,5.0,random_forest
body_orientation_difference_rad_min,0.0013805118724435166,0.0011284202949052274,5.0,random_forest
frame_gaze_valid_ratio,0.0013629198284381971,0.0007200903930883951,5.0,random_forest
p1_partner_gaze_angle_min,0.0013621965771974203,0.0007923730380626432,5.0,random_forest
gaze_yaw_difference_rad_min,0.001361950205794928,0.0008410786188798687,5.0,random_forest
p2_active_ratio,0.0013536354074438484,0.000795144404214583,5.0,random_forest
mutual_gaze_ratio,0.0013354599119383785,0.0009397169060365132,5.0,random_forest
pair_motion_energy_std,0.0013176554444040516,0.000972799234783485,5.0,random_forest
p2_motion_energy_mean,0.0013169494057773123,0.0009161577548070413,5.0,random_forest
joint_attention_table_count,0.0013012832522839117,0.0013155818094444458,5.0,random_forest
one_active_transition_count,0.001225598232099001,0.0008347779692434146,5.0,random_forest
dyadic_motion_synchrony_lag_s,0.0011625244822625058,0.0005440299747698341,5.0,random_forest
