true_label,pred_label,count
1,1,168
1,2,117
1,3,50
1,4,91
2,1,180
2,2,86
2,3,45
2,4,72
3,1,83
3,2,50
3,3,35
3,4,59
4,1,168
4,2,56
4,3,64
4,4,131
