true_label,pred_label,count
1,1,417
1,2,210
1,3,97
1,4,348
2,1,234
2,2,187
2,3,170
2,4,373
3,1,85
3,2,132
3,3,116
3,4,242
4,1,178
4,2,219
4,3,180
4,4,480
