true_label,pred_label,count
1,1,445
1,2,259
1,3,205
1,4,163
2,1,372
2,2,185
2,3,172
2,4,235
3,1,145
3,2,130
3,3,153
3,4,147
4,1,223
4,2,150
4,3,202
4,4,482
