true_label,pred_label,count
1,1,506
1,2,276
1,3,110
1,4,180
2,1,405
2,2,242
2,3,100
2,4,217
3,1,229
3,2,147
3,3,49
3,4,150
4,1,330
4,2,172
4,3,150
4,4,405
