true_label,pred_label,count
1,1,481
1,2,237
1,3,127
1,4,227
2,1,413
2,2,175
2,3,126
2,4,250
3,1,162
3,2,129
3,3,101
3,4,183
4,1,273
4,2,141
4,3,137
4,4,506
