true_label,pred_label,count
1,1,165
1,2,130
1,3,86
1,4,45
2,1,136
2,2,101
2,3,73
2,4,73
3,1,70
3,2,57
3,3,53
3,4,47
4,1,80
4,2,56
4,3,143
4,4,140
