true_label,pred_label,count
1,1,906
1,2,558
1,3,207
1,4,477
2,1,882
2,2,412
2,3,213
2,4,424
3,1,432
3,2,239
3,3,157
3,4,328
4,1,827
4,2,282
4,3,278
4,4,732
