word_id,word,description,window_count,prevalence,mean_order,prevalence_order1,centroid_motion_energy_mean,centroid_motion_energy_max,centroid_motion_active_ratio,centroid_motion_burst_count,centroid_left_wrist_speed_mean,centroid_right_wrist_speed_mean,centroid_dominant_hand_speed_mean,centroid_left_hand_to_other_head_mean,centroid_right_hand_to_other_head_mean,centroid_closest_hand_to_other_head_mean,centroid_closest_hand_to_other_head_min,centroid_left_hand_reach_delta,centroid_right_hand_reach_delta,centroid_closest_hand_reach_delta,centroid_partner_gaze_ratio,centroid_task_gaze_ratio,centroid_gaze_switch_rate,centroid_root_distance_mean,centroid_partner_active_ratio
0,IW00,high body motion; brief/intermittent active; right-hand dominant; partner-directed gaze; partner also active,16,0.13333333333333333,1.0,0.13333333333333333,0.429214778782965,0.8773730421829917,0.5890410958904109,2.7294520547945202,0.6475708294197127,0.8325824391338503,0.9673703374954983,0.5846198855048389,0.6345479171363079,0.5233051943978376,0.39552242073231697,0.09784394771213954,0.0005641131598042868,0.0823635457917115,0.44820205479452063,0.46646689497716853,3.4091654677393297,0.7906281088090432,0.685502283105023
1,IW01,high body motion; brief/intermittent active; balanced hands; right hand moves toward partner; partner-directed gaze; partner mostly passive,10,0.08333333333333333,1.0,0.08333333333333333,0.4409947082773891,0.8019641531138673,0.5579710144927534,1.983695652173913,0.5474672646783063,0.5353868702245641,0.724185370579605,0.9387376887649375,0.9703897391322339,0.9254880438143527,0.8128213199853267,-0.00126343916764326,-0.01895721607603438,-0.006252069161630638,0.4227807971014493,0.671875,1.5538722013882527,1.045283038869318,0.45040760869565216
2,IW02,high body motion; brief/intermittent active; balanced hands; right hand moves toward partner; task-directed gaze; partner mostly passive,6,0.05,1.0,0.05,0.4177704718197862,0.7883932011599227,0.6108695652173913,2.1478260869565218,0.6869810553497178,0.7169325280950373,0.975686800288649,0.5682143540704016,0.6276082368167756,0.531582897577174,0.34094416167713015,-0.24369519992903382,-0.3791367838122779,-0.29574451908305455,0.0956521739130437,0.5438405797101449,2.2593528650842334,0.7000830661843328,0.41992753623188406
3,IW03,moderate body motion; mostly still; right-hand dominant; right hand withdraws; partner-directed gaze; partner mostly passive,35,0.2916666666666667,1.0,0.2916666666666667,0.22453659144936888,0.606241487113118,0.19217449217449248,1.6377622377622378,0.2911236088216691,0.40751431221034673,0.4961019101286175,0.5645143405934109,0.6279728623965111,0.5296328166183379,0.46845249047830473,0.0333821610815251,0.016509517144680436,0.031165637674322677,0.4230769230769231,0.7447968697968695,0.874695768046435,0.7130468363120989,0.25638528138528127
4,IW04,moderate body motion; mostly still; right-hand dominant; partner-directed gaze; partner mostly passive,1,0.008333333333333333,1.0,0.008333333333333333,0.30600384169433403,1.195774356459363,0.1250000000000001,1.0,0.16650761604496367,6.208820440336567,1.4294204346807933,0.7300137560081017,0.846077320963795,0.705358486198494,0.5353251399380193,0.036486332723747454,-0.004757591366315539,-0.15649943009528713,0.5833333333333333,0.5416666666666666,2.086952445660135,0.7999853189198975,0.1250000000000001
5,IW05,moderate body motion; brief/intermittent active; balanced hands; left hand moves toward partner; partner-directed gaze; partner mostly passive,21,0.175,1.0,0.175,0.3132174326648276,0.6294362841125525,0.3304871373836891,2.47816091954023,0.4968368380510935,0.4734728597810717,0.6681917418342316,0.4980801922049706,0.5893518502896752,0.4699804224106495,0.37496282243612405,-0.12002082437070191,-0.00956271759269672,-0.101138176041867,0.41781609195402303,0.45276409414340435,1.4966087710889175,0.6866771356021173,0.3079365079365079
6,IW06,moderate body motion; brief/intermittent active; right-hand dominant; left hand withdraws; task-directed gaze; partner mostly passive,13,0.10833333333333334,1.0,0.10833333333333334,0.2921438415724151,0.559774339746841,0.4081730769230769,2.353846153846154,0.4220456716220392,0.6460009459004784,0.8873512583578644,0.6015469945095131,0.5556974706703471,0.49347692387795444,0.37880156362592193,0.10925784404807141,0.22372430007972666,0.14601020214967206,0.3371794871794872,0.6692307692307692,2.0187251541673996,0.6997183658010078,0.4294871794871796
7,IW07,moderate body motion; brief/intermittent active; right-hand dominant; right hand moves toward partner; partner-directed gaze; partner mostly passive,2,0.016666666666666666,1.0,0.016666666666666666,0.35554305929769153,0.7993485337409693,0.49880952380952376,3.0,0.1001200097816714,3.081884788929573,2.722824390399336,0.7530383298642078,1.0913998869454726,0.7089542477502424,0.5066382908610011,0.0023063183555077976,-0.05380420650063805,-0.039783622084067154,0.763095238095238,0.7488095238095238,1.7291891692612549,0.7743962108718435,0.3047619047619048
8,IW08,high body motion; sustained active; left-hand dominant; right hand moves toward partner; partner-directed gaze; partner also active,1,0.008333333333333333,1.0,0.008333333333333333,0.7038675401723489,1.339974927159112,0.958333333333333,2.0,2.02878421099691,1.3246511524343956,2.260895408193562,0.659566822868995,0.5807686284906768,0.4958859841360736,0.304989281697629,0.505716968516138,-0.43291418875249577,-0.08326859807131126,0.625,0.9166666666666665,2.086952445660135,0.8373423348193868,0.6249999999999999
9,IW09,moderate body motion; brief/intermittent active; right-hand dominant; right hand moves toward partner; partner-directed gaze; partner mostly passive,1,0.008333333333333333,1.0,0.008333333333333333,0.30497358914919986,0.6131751839367908,0.29166666666666674,2.0,0.10281372961686575,1.5910295019277543,1.5944951148736455,0.7467316626817739,0.7429673131680204,0.6030571279298186,0.49167123916864375,-0.006539203948525694,-1.083948864725622,-0.20756191089261447,0.5,0.7916666666666666,2.086952445660135,0.7567316378902881,0.29166666666666674
10,IW10,high body motion; sustained active; left-hand dominant; left hand moves toward partner; partner-directed gaze; partner mostly passive,4,0.03333333333333333,1.0,0.03333333333333333,0.5965009488445312,1.150102297998458,0.9132751937984497,2.255813953488372,1.7819765553287976,0.7731872179374483,1.9132238942777253,0.8069070118040811,0.5380238037712848,0.541570463293359,0.42787369806624853,-0.39290157971068396,-0.08628282699760849,-0.11734128636207192,0.6598837209302326,0.5852713178294574,1.5045471119875393,0.7057910339689257,0.43556201550387597
11,IW11,moderate body motion; brief/intermittent active; right-hand dominant; right hand moves toward partner; partner-directed gaze; partner mostly passive,10,0.08333333333333333,1.0,0.08333333333333333,0.2859269856883739,0.6168503240657204,0.33199541284403666,2.5642201834862384,0.44686272672023,0.6049770613495895,0.7937966939239988,0.5436512446768613,0.551680897460939,0.45327312225385674,0.3486837008821012,0.05712855690358302,-0.1980410670103001,-0.05098267731125948,0.4313837920489296,0.6087538226299694,2.1874707974006466,0.6723380695721147,0.36487003058103973
