pair_id,session_id,order,condition_label,window_index,TSNE1,TSNE2
dyad_001,20260504_183351_order1,1,baseline,3,-0.9396892,32.446465
dyad_001,20260504_183351_order1,1,baseline,7,-3.9356394,2.08675
dyad_001,20260504_183351_order1,1,baseline,8,37.366196,38.448196
dyad_001,20260504_183351_order1,1,baseline,9,-4.339897,1.112293
dyad_001,20260504_183351_order1,1,baseline,10,32.501747,32.196526
dyad_001,20260504_183351_order1,1,baseline,11,-9.367888,-1.3349038
dyad_001,20260504_183351_order1,1,baseline,15,-4.061936,2.821145
dyad_001,20260504_183351_order1,1,baseline,20,-4.622914,3.225197
dyad_001,20260504_183351_order1,1,baseline,21,-4.7833676,0.7619678
dyad_001,20260504_183351_order1,1,baseline,25,15.634748,9.912488
dyad_001,20260504_183351_order1,1,baseline,27,-1.4107383,-9.088518
dyad_001,20260504_183351_order1,1,baseline,28,5.968052,4.6775994
dyad_001,20260504_183351_order1,1,baseline,30,26.813995,43.316906
dyad_001,20260504_183351_order1,1,baseline,31,32.424088,32.33981
dyad_001,20260504_183351_order1,1,baseline,34,-3.1592226,2.5084078
dyad_001,20260504_183351_order1,1,baseline,36,38.490135,40.130333
dyad_001,20260504_183351_order1,1,baseline,38,14.584191,16.318098
dyad_001,20260504_183351_order1,1,baseline,43,16.140919,16.797182
dyad_001,20260504_183351_order1,1,baseline,44,36.789993,38.328583
dyad_001,20260504_183351_order1,1,baseline,46,-1.342672,-8.102158
dyad_001,20260504_183351_order1,1,baseline,49,38.601246,38.30615
dyad_001,20260504_183351_order1,1,baseline,51,34.1649,24.960712
dyad_001,20260504_183351_order1,1,baseline,52,2.22839,-8.077562
dyad_001,20260504_183351_order1,1,baseline,57,5.415524,3.814254
dyad_001,20260504_183351_order1,1,baseline,59,1.3685951,-5.5293336
dyad_001,20260504_183351_order1,1,baseline,63,6.4688573,4.59795
dyad_001,20260504_183529_order2,2,competitive,1,0.37061948,-3.6785424
dyad_001,20260504_183529_order2,2,competitive,2,30.898506,31.51691
dyad_001,20260504_183529_order2,2,competitive,3,-3.4880009,2.218482
dyad_001,20260504_183529_order2,2,competitive,7,33.330326,31.93365
dyad_001,20260504_183529_order2,2,competitive,15,-1.0781223,-7.597185
dyad_001,20260504_183529_order2,2,competitive,16,28.937357,31.42573
dyad_001,20260504_183529_order2,2,competitive,17,31.802794,29.354809
dyad_001,20260504_183529_order2,2,competitive,20,38.88273,35.049137
dyad_001,20260504_183529_order2,2,competitive,24,9.57816,-6.5224576
dyad_001,20260504_183529_order2,2,competitive,28,-22.28835,-5.673077
dyad_001,20260504_183529_order2,2,competitive,29,3.2412713,1.4924186
dyad_001,20260504_183529_order2,2,competitive,33,-22.229626,-5.772182
dyad_001,20260504_183529_order2,2,competitive,41,13.736827,-25.87792
dyad_001,20260504_183529_order2,2,competitive,43,14.19039,-9.7745695
dyad_001,20260504_183529_order2,2,competitive,45,-13.920993,-3.9235997
dyad_001,20260504_183529_order2,2,competitive,48,10.479354,-9.332733
dyad_001,20260504_183529_order2,2,competitive,49,10.6370125,-10.008439
dyad_001,20260504_183529_order2,2,competitive,50,11.103693,-9.176774
dyad_001,20260504_183529_order2,2,competitive,52,11.308047,-11.127538
dyad_001,20260504_183529_order2,2,competitive,56,-6.2167864,-0.8560786
dyad_001,20260504_183529_order2,2,competitive,65,11.368704,-8.574968
dyad_001,20260504_183529_order2,2,competitive,66,-5.86748,-0.41554633
dyad_001,20260504_183529_order2,2,competitive,70,6.0669093,-9.643606
dyad_001,20260504_183529_order2,2,competitive,71,15.748665,37.360786
dyad_001,20260504_183529_order2,2,competitive,80,36.429966,38.886356
dyad_001,20260504_183529_order2,2,competitive,83,28.512302,24.713846
dyad_001,20260504_183529_order2,2,competitive,86,13.590785,21.354038
dyad_001,20260504_183529_order2,2,competitive,87,23.589645,31.373232
dyad_001,20260504_183529_order2,2,competitive,90,22.262154,39.378082
dyad_001,20260504_183529_order2,2,competitive,91,23.618938,33.646782
dyad_001,20260504_183529_order2,2,competitive,96,26.839718,-19.457926
dyad_001,20260504_183529_order2,2,competitive,98,26.303486,36.276455
dyad_001,20260504_183529_order2,2,competitive,101,23.491278,36.496716
dyad_001,20260504_183529_order2,2,competitive,103,24.954422,34.995964
dyad_001,20260504_183529_order2,2,competitive,107,29.613297,36.15611
dyad_001,20260504_183529_order2,2,competitive,116,24.81479,34.724934
dyad_001,20260504_183529_order2,2,competitive,119,41.236656,35.48647
dyad_001,20260504_183529_order2,2,competitive,120,41.42345,35.278103
dyad_001,20260504_183529_order2,2,competitive,123,40.62172,38.06284
dyad_001,20260504_183529_order2,2,competitive,126,13.086022,-8.018287
dyad_001,20260504_183529_order2,2,competitive,127,13.386649,-7.904117
