pair_id,session_id,order,condition_label,window_index,TSNE1,TSNE2
dyad_001,20260504_183351_order1,1,baseline,1,19.815496,-15.153656
dyad_001,20260504_183351_order1,1,baseline,3,39.078453,-19.257452
dyad_001,20260504_183351_order1,1,baseline,4,50.020523,-17.139362
dyad_001,20260504_183351_order1,1,baseline,5,40.00972,-20.61396
dyad_001,20260504_183351_order1,1,baseline,7,39.06181,-19.728388
dyad_001,20260504_183351_order1,1,baseline,8,45.0603,-15.040886
dyad_001,20260504_183351_order1,1,baseline,9,53.971046,-6.747634
dyad_001,20260504_183351_order1,1,baseline,10,39.16868,-20.533981
dyad_001,20260504_183351_order1,1,baseline,11,20.573656,10.032718
dyad_001,20260504_183351_order1,1,baseline,12,52.64132,-18.893194
dyad_001,20260504_183351_order1,1,baseline,14,51.672478,-13.888821
dyad_001,20260504_183351_order1,1,baseline,17,36.80636,-19.411383
dyad_001,20260504_183351_order1,1,baseline,19,39.78255,-16.90626
dyad_001,20260504_183351_order1,1,baseline,20,42.056698,-16.457294
dyad_001,20260504_183351_order1,1,baseline,21,39.41602,-16.958782
dyad_001,20260504_183351_order1,1,baseline,23,13.426997,2.778916
dyad_001,20260504_183351_order1,1,baseline,24,49.406612,-18.588732
dyad_001,20260504_183351_order1,1,baseline,25,48.954002,-15.255679
dyad_001,20260504_183351_order1,1,baseline,27,49.357056,-15.467152
dyad_001,20260504_183351_order1,1,baseline,28,49.24379,-7.63789
dyad_001,20260504_183351_order1,1,baseline,29,-20.129599,-2.9606583
dyad_001,20260504_183351_order1,1,baseline,30,-6.5724735,3.8667023
dyad_001,20260504_183351_order1,1,baseline,31,-8.165785,3.7470503
dyad_001,20260504_183351_order1,1,baseline,32,-32.831055,-16.221554
dyad_001,20260504_183529_order2,2,competitive,0,39.962215,-19.319118
dyad_001,20260504_183529_order2,2,competitive,1,37.062515,-18.319721
dyad_001,20260504_183529_order2,2,competitive,2,47.29854,-20.165798
dyad_001,20260504_183529_order2,2,competitive,3,41.857227,-16.16228
dyad_001,20260504_183529_order2,2,competitive,7,42.482628,-14.505474
dyad_001,20260504_183529_order2,2,competitive,11,41.320557,-13.538158
dyad_001,20260504_183529_order2,2,competitive,12,6.881666,6.6210256
dyad_001,20260504_183529_order2,2,competitive,13,-22.15047,25.212067
dyad_001,20260504_183529_order2,2,competitive,14,-24.24491,-22.475647
dyad_001,20260504_183529_order2,2,competitive,16,-23.859495,-23.179247
