pair_id,session_id,order,condition_label,window_index,TSNE1,TSNE2
dyad_001,20260504_184034_order3,3,competitive,13,31.251661,-27.19022
dyad_001,20260504_184034_order3,3,competitive,14,18.640821,-24.657162
dyad_001,20260504_184034_order3,3,competitive,15,17.769236,-21.458448
dyad_001,20260504_184034_order3,3,competitive,16,28.20781,-25.417559
dyad_001,20260504_184034_order3,3,competitive,17,23.527567,-18.538696
dyad_001,20260504_184034_order3,3,competitive,18,24.751013,-24.899052
dyad_001,20260504_184034_order3,3,competitive,19,27.726091,-31.559975
dyad_001,20260504_184304_order4,4,competitive,0,24.834436,-17.73595
dyad_001,20260504_184304_order4,4,competitive,1,24.53166,-28.417265
dyad_001,20260504_184304_order4,4,competitive,2,23.762533,-29.15571
dyad_001,20260504_184304_order4,4,competitive,3,22.757744,-28.888115
dyad_001,20260504_184304_order4,4,competitive,4,22.718914,-30.833508
dyad_001,20260504_184304_order4,4,competitive,5,22.758675,-29.053387
dyad_001,20260504_184304_order4,4,competitive,6,33.29184,-29.637312
dyad_001,20260504_184304_order4,4,competitive,7,11.486732,-18.612562
dyad_001,20260504_184304_order4,4,competitive,8,28.555643,-27.765654
dyad_001,20260504_184304_order4,4,competitive,9,22.383799,-26.189928
dyad_001,20260504_184304_order4,4,competitive,10,21.471663,-18.88914
dyad_001,20260504_184304_order4,4,competitive,11,21.617311,-18.12024
dyad_001,20260504_184304_order4,4,competitive,12,33.439514,-29.852663
dyad_001,20260504_184304_order4,4,competitive,13,33.119675,-24.518402
dyad_001,20260504_184304_order4,4,competitive,14,28.698809,-18.742601
dyad_001,20260504_184304_order4,4,competitive,15,32.438957,-21.61445
dyad_001,20260504_184304_order4,4,competitive,16,25.172821,-18.898535
dyad_001,20260504_184304_order4,4,competitive,17,32.523315,-28.952717
dyad_001,20260504_184304_order4,4,competitive,18,33.158844,-23.895119
dyad_001,20260504_184304_order4,4,competitive,19,32.23196,-26.799118
dyad_001,20260504_184304_order4,4,competitive,20,24.142988,-18.188267
dyad_001,20260504_184304_order4,4,competitive,21,32.400696,-25.175825
dyad_001,20260504_184304_order4,4,competitive,22,32.698147,-26.891941
dyad_001,20260504_184304_order4,4,competitive,23,31.72515,-25.00364
dyad_001,20260504_184304_order4,4,competitive,24,32.52614,-24.330355
dyad_001,20260504_184304_order4,4,competitive,25,26.782703,-19.499329
dyad_001,20260504_184304_order4,4,competitive,26,17.685703,-21.319546
dyad_001,20260504_184304_order4,4,competitive,27,29.985735,-27.173103
dyad_001,20260504_184304_order4,4,competitive,28,33.860935,-21.18916
dyad_001,20260504_184304_order4,4,competitive,29,32.440796,-27.892204
dyad_001,20260504_184304_order4,4,competitive,30,30.093801,-18.847668
dyad_001,20260504_184304_order4,4,competitive,31,28.396618,-14.265296
dyad_001,20260504_184304_order4,4,competitive,32,21.165459,-19.563875
dyad_001,20260504_184304_order4,4,competitive,33,25.946913,-21.483343
dyad_001,20260504_184304_order4,4,competitive,34,29.68368,-21.677532
dyad_001,20260504_184304_order4,4,competitive,35,20.073877,-16.610703
dyad_001,20260504_184304_order4,4,competitive,36,20.920168,-26.121243
dyad_001,20260504_184304_order4,4,competitive,37,31.249355,-24.83953
dyad_001,20260504_184304_order4,4,competitive,38,29.695715,-31.916912
dyad_001,20260504_184304_order4,4,competitive,39,29.500187,-31.317692
dyad_002,20260505_190850_order1,1,baseline,0,23.037115,-5.9822583
dyad_002,20260505_190850_order1,1,baseline,1,1.383924,-25.322218
dyad_002,20260505_190850_order1,1,baseline,2,18.070843,-4.3156013
dyad_002,20260505_190850_order1,1,baseline,3,10.275704,-13.241561
dyad_002,20260505_190850_order1,1,baseline,4,14.731767,-1.4895874
dyad_002,20260505_190850_order1,1,baseline,5,5.2626586,-15.745291
dyad_002,20260505_190850_order1,1,baseline,6,19.293833,2.6064613
dyad_002,20260505_190850_order1,1,baseline,7,21.922924,-9.345598
dyad_002,20260505_190850_order1,1,baseline,8,20.004063,0.48413876
dyad_002,20260505_190850_order1,1,baseline,9,19.622944,0.79613847
dyad_002,20260505_190850_order1,1,baseline,10,17.799763,4.5524607
dyad_002,20260505_190850_order1,1,baseline,11,14.809851,-0.83069676
dyad_002,20260505_190850_order1,1,baseline,12,-35.126873,-7.586809
dyad_002,20260505_190850_order1,1,baseline,13,6.617541,-19.514616
dyad_002,20260505_190850_order1,1,baseline,14,6.5773525,-19.137068
dyad_002,20260505_190850_order1,1,baseline,15,5.126673,-21.079758
