component,explained_variance_ratio
1,0.12213420188718088
2,0.10209381953927935
3,0.06861001520908104
4,0.06300512418583622
5,0.05354233092557066
6,0.043543943475214744
7,0.03504389071893465
8,0.03068710284112026
9,0.028323529160076334
10,0.02517892568768332
