component,explained_variance_ratio
1,0.11217990927749573
2,0.10021488718788157
3,0.0658333674037158
4,0.06170600889106616
5,0.05212636023106541
6,0.04481847532569709
7,0.03517642441651063
8,0.031033439683647912
9,0.029098420381200224
10,0.027250594049529855
