component,explained_variance_ratio
1,0.13902378494207343
2,0.10402929384501698
3,0.0742057973682643
4,0.06466023409400495
5,0.05677264669652346
6,0.040853113750703135
7,0.0351863371970196
8,0.03007738122838423
9,0.027989208634489338
10,0.02325428232106592
