pair_id,session_id,order,condition_label,window_index,PC1,PC2,PC3,PC4,PC5
dyad_001,20260504_183351_order1,1,baseline,0,5.0148596034604385,-5.663834983190673,-2.024028643967382,0.7831149580376241,2.9748451852431606
dyad_001,20260504_183351_order1,1,baseline,1,4.873752515033782,-1.8583835646852427,-4.002639543751799,-0.24916188461686284,-5.100723455458631
dyad_001,20260504_183351_order1,1,baseline,2,4.3957277437222535,-2.6319923724023395,-0.7897486241536937,-1.1576530649355237,-4.435561917221464
dyad_001,20260504_183351_order1,1,baseline,3,7.0917415625125395,-1.1461102183798657,-4.4624100645784095,-1.9598557312295681,-4.098085594338383
dyad_001,20260504_183351_order1,1,baseline,4,2.8824007874039768,-1.3375384626122517,-0.004017996808679145,-0.5325714486432069,-5.954688869402233
dyad_001,20260504_183351_order1,1,baseline,5,5.795578906642511,-4.11686998297374,-2.1193311640589814,1.5057491503920817,-5.16279727273728
dyad_001,20260504_183351_order1,1,baseline,6,7.717062319997904,-0.7598981780073442,-0.3991332024345484,-1.7251073886037678,-4.180612170139085
dyad_001,20260504_183351_order1,1,baseline,7,6.268781279049399,-4.577762578427874,-3.016972481515153,1.3081694573571085,-4.416092746354719
dyad_001,20260504_183351_order1,1,baseline,8,10.653886613139026,-2.6821550771854175,-1.5815513699460364,-1.1611443041553429,-5.452874970104155
dyad_001,20260504_183351_order1,1,baseline,9,6.802145056937953,-4.463245446234684,-2.781289087310884,-0.6752925444228284,-5.800548498619124
dyad_001,20260504_183351_order1,1,baseline,10,7.6034476046222625,-3.2116862877448,-0.05201919236953776,0.2812228089184451,-3.9403502208215913
dyad_001,20260504_183351_order1,1,baseline,11,5.628974714144236,-2.930523225839086,-2.972033493022451,2.167786844508869,-5.64611281773824
dyad_001,20260504_183351_order1,1,baseline,12,1.3895852878149997,-5.44662332135952,3.071364766521233,-1.7092985913872663,-3.203558108309119
dyad_001,20260504_183529_order2,2,competitive,0,3.2934843512578573,-1.2087883296133641,-2.436425652602462,-1.2546057967516808,-5.3197856699922825
dyad_001,20260504_183529_order2,2,competitive,1,9.49042179288789,0.6316985649065923,-1.107223973792845,-0.6424571383476251,-6.56123800752145
dyad_001,20260504_183529_order2,2,competitive,2,7.617885735604353,1.8583306363181127,-5.5234564217136874,-5.416649158202879,-5.841747733827739
dyad_001,20260504_183529_order2,2,competitive,3,7.639450700202656,-0.2766445574658182,-1.709106674310708,-1.7521288488494253,-6.661929660308397
dyad_001,20260504_183529_order2,2,competitive,4,5.594565298201547,-0.11070664071275711,-2.074632810437329,-4.2210221659927045,-6.90364502778913
dyad_001,20260504_183529_order2,2,competitive,5,3.6713531684510285,-7.915204529191258,-5.099924567342611,-4.009924479630419,-1.2226840280337137
