pair_id,session_id,order,condition_label,window_size_s,window_index,start_time_s,end_time_s,behavior_token,cluster_id
dyad_001,20260504_183529_order2,2,competitive,5.0,40,1777909129.2825186,1777909134.2454913,BT00,0
dyad_001,20260504_183529_order2,2,competitive,5.0,41,1777909134.2825284,1777909139.245501,BT00,0
dyad_001,20260504_183529_order2,2,competitive,5.0,42,1777909139.2825382,1777909144.2455108,BT00,0
dyad_001,20260504_183529_order2,2,competitive,5.0,43,1777909144.282548,1777909149.2455206,BT00,0
dyad_001,20260504_183529_order2,2,competitive,5.0,44,1777909149.2825577,1777909154.2455304,BT00,0
dyad_001,20260504_183529_order2,2,competitive,5.0,45,1777909154.2825675,1777909159.2455401,BT00,0
dyad_001,20260504_183529_order2,2,competitive,5.0,46,1777909159.282577,1777909164.24555,BT00,0
dyad_001,20260504_183529_order2,2,competitive,5.0,47,1777909164.2825868,1777909169.2455595,BT00,0
dyad_001,20260504_183529_order2,2,competitive,5.0,48,1777909169.2825966,1777909174.2455692,BT00,0
dyad_001,20260504_183529_order2,2,competitive,5.0,49,1777909174.2826064,1777909179.245579,BT01,1
dyad_001,20260504_183529_order2,2,competitive,5.0,50,1777909179.2826161,1777909184.2455888,BT00,0
dyad_001,20260504_183529_order2,2,competitive,5.0,51,1777909184.282626,1777909189.2455986,BT00,0
dyad_001,20260504_184034_order3,3,competitive,5.0,0,1777909234.3839917,1777909239.3469644,BT00,0
dyad_001,20260504_184034_order3,3,competitive,5.0,1,1777909239.3840015,1777909244.3469741,BT00,0
dyad_001,20260504_184034_order3,3,competitive,5.0,2,1777909244.3840113,1777909249.346984,BT00,0
dyad_001,20260504_184034_order3,3,competitive,5.0,3,1777909249.384021,1777909254.3469937,BT00,0
dyad_001,20260504_184034_order3,3,competitive,5.0,4,1777909254.3840308,1777909259.3470035,BT00,0
dyad_001,20260504_184034_order3,3,competitive,5.0,5,1777909259.3840406,1777909264.3470132,BT00,0
dyad_001,20260504_184034_order3,3,competitive,5.0,6,1777909264.3840504,1777909269.347023,BT00,0
dyad_001,20260504_184034_order3,3,competitive,5.0,7,1777909269.3840601,1777909274.3470328,BT00,0
dyad_001,20260504_184034_order3,3,competitive,5.0,8,1777909274.38407,1777909279.3470426,BT00,0
dyad_001,20260504_184034_order3,3,competitive,5.0,9,1777909279.3840797,1777909284.3470523,BT00,0
dyad_001,20260504_184034_order3,3,competitive,5.0,10,1777909284.3840895,1777909289.347062,BT00,0
dyad_001,20260504_184034_order3,3,competitive,5.0,11,1777909289.384099,1777909294.347072,BT00,0
dyad_001,20260504_184034_order3,3,competitive,5.0,12,1777909294.3841088,1777909299.3470817,BT00,0
dyad_001,20260504_184034_order3,3,competitive,5.0,13,1777909299.3841186,1777909304.3470912,BT00,0
dyad_001,20260504_184034_order3,3,competitive,5.0,14,1777909304.3841283,1777909309.347101,BT00,0
dyad_001,20260504_184034_order3,3,competitive,5.0,15,1777909309.384138,1777909314.3471107,BT00,0
dyad_001,20260504_184034_order3,3,competitive,5.0,16,1777909314.384148,1777909319.3471205,BT00,0
dyad_001,20260504_184034_order3,3,competitive,5.0,17,1777909319.3841577,1777909324.3471303,BT00,0
dyad_001,20260504_184034_order3,3,competitive,5.0,18,1777909324.3841674,1777909329.34714,BT00,0
dyad_001,20260504_184034_order3,3,competitive,5.0,19,1777909329.3841772,1777909334.3471498,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,0,1777909384.9992185,1777909389.962191,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,1,1777909389.9992282,1777909394.9622009,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,2,1777909394.999238,1777909399.9622107,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,3,1777909399.9992478,1777909404.9622204,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,4,1777909404.9992576,1777909409.9622302,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,5,1777909409.9992673,1777909414.96224,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,6,1777909414.999277,1777909419.9622498,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,7,1777909419.999287,1777909424.9622595,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,8,1777909424.9992967,1777909429.9622693,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,9,1777909429.9993064,1777909434.962279,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,10,1777909434.9993162,1777909439.9622889,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,11,1777909439.999326,1777909444.9622986,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,12,1777909444.9993358,1777909449.9623084,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,13,1777909449.9993455,1777909454.9623182,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,14,1777909454.9993553,1777909459.962328,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,15,1777909459.999365,1777909464.9623377,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,16,1777909464.9993749,1777909469.9623475,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,17,1777909469.9993844,1777909474.9623573,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,18,1777909474.9993942,1777909479.962367,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,19,1777909479.999404,1777909484.9623766,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,20,1777909484.9994137,1777909489.9623864,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,21,1777909489.9994235,1777909494.9623961,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,22,1777909494.9994333,1777909499.962406,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,23,1777909499.999443,1777909504.9624157,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,24,1777909504.9994528,1777909509.9624255,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,25,1777909509.9994626,1777909514.9624352,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,26,1777909514.9994724,1777909519.962445,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,27,1777909519.9994822,1777909524.9624548,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,28,1777909524.999492,1777909529.9624646,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,29,1777909529.9995017,1777909534.9624743,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,30,1777909534.9995115,1777909539.9624841,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,31,1777909539.9995213,1777909544.962494,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,32,1777909544.999531,1777909549.9625037,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,33,1777909549.9995408,1777909554.9625134,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,34,1777909554.9995506,1777909559.9625232,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,35,1777909559.9995604,1777909564.962533,BT00,0
dyad_001,20260504_184304_order4,4,competitive,5.0,36,1777909564.9995701,1777909569.9625428,BT00,0
