session_a,session_b,cosine_similarity
20260504_183351_order1,20260504_183529_order2,0.9991598777426169
20260504_183351_order1,20260504_184034_order3,0.9999979827830808
20260504_183351_order1,20260504_184304_order4,0.9994280168296388
20260504_183351_order1,20260505_190850_order1,0.8918935223687626
20260504_183351_order1,20260505_191548_order2,0.9919770027187131
20260504_183351_order1,20260505_191759_order3,0.9921275111753388
20260504_183351_order1,20260505_192656_order4,0.9161933974450625
20260504_183351_order1,20260507_134304_order1,0.28303474857673655
20260504_183351_order1,20260507_135022_order2,0.40696818669403634
20260504_183351_order1,20260507_135244_order3,0.639019693587196
20260504_183351_order1,20260507_135359_order4,0.551009073898481
20260504_183351_order1,20260507_141202_order1,0.278751755183981
20260504_183351_order1,20260507_142235_order2,0.41919421643942645
20260504_183351_order1,20260507_143033_order3,0.6920460874929542
20260504_183351_order1,20260507_143442_order4,0.8888383002892072
20260504_183351_order1,20260507_151153_order1,0.8660369080174806
20260504_183351_order1,20260507_151733_order2,0.990272965776903
20260504_183351_order1,20260507_152058_order3,0.9369520992218052
20260504_183351_order1,20260507_152317_order4,0.9134880397469548
20260504_183351_order1,20260507_154437_order1,0.9989315650425176
20260504_183351_order1,20260507_154803_order2,0.9917841742606764
20260504_183351_order1,20260507_155406_order3,0.9986126281761137
20260504_183351_order1,20260507_155542_order4,0.9999977062352737
20260504_183351_order1,20260510_112436_order1,0.9999456555270212
20260504_183351_order1,20260510_112937_order2,0.9999964879498426
20260504_183351_order1,20260510_113403_order3,0.9940387659492866
20260504_183351_order1,20260510_113658_order4,0.9985632401791995
20260504_183351_order1,20260510_121708_order1,0.4183252243449643
20260504_183351_order1,20260510_122126_order2,0.903610466758212
20260504_183351_order1,20260510_122534_order3,0.7904082605847087
20260504_183351_order1,20260510_122925_order4,0.9543572230215721
20260504_183351_order1,20260510_140907_order1,0.5672017393085872
20260504_183351_order1,20260510_141947_order2,0.7860027567068412
20260504_183351_order1,20260510_142206_order3,0.3766500824277588
20260504_183351_order1,20260510_142353_order4,0.5038710248059516
20260504_183351_order1,20260510_144735_order1,0.5834954176517334
20260504_183351_order1,20260510_145002_order2,0.7189162322118318
20260504_183351_order1,20260510_145207_order3,0.7656450859688504
20260504_183351_order1,20260510_145409_order4,0.9364497612277703
20260504_183351_order1,20260510_154339_order1,0.8432219407400038
20260504_183351_order1,20260510_154923_order2,0.9974733962961367
20260504_183351_order1,20260510_155222_order3,0.9995512994156257
20260504_183351_order1,20260510_155501_order4,0.9504613650801133
20260504_183529_order2,20260504_184034_order3,0.9992401566538295
20260504_183529_order2,20260504_184304_order4,0.9999742983483814
20260504_183529_order2,20260505_190850_order1,0.8726102335898781
20260504_183529_order2,20260505_191548_order2,0.9859627222722275
20260504_183529_order2,20260505_191759_order3,0.9861617363635005
20260504_183529_order2,20260505_192656_order4,0.8990006454963103
20260504_183529_order2,20260507_134304_order1,0.2434905903229135
20260504_183529_order2,20260507_135022_order2,0.36919145437758166
20260504_183529_order2,20260507_135244_order3,0.6069597651920519
20260504_183529_order2,20260507_135359_order4,0.5163465869241205
20260504_183529_order2,20260507_141202_order1,0.239159822573149
20260504_183529_order2,20260507_142235_order2,0.3816344894368154
20260504_183529_order2,20260507_143033_order3,0.6618815847857773
20260504_183529_order2,20260507_143442_order4,0.869312687679208
20260504_183529_order2,20260507_151153_order1,0.844819074355546
20260504_183529_order2,20260507_151733_order2,0.9837388323167985
20260504_183529_order2,20260507_152058_order3,0.9218434139257312
20260504_183529_order2,20260507_152317_order4,0.8960463734087591
20260504_183529_order2,20260507_154437_order1,0.9961983959435675
20260504_183529_order2,20260507_154803_order2,0.985708419157348
20260504_183529_order2,20260507_155406_order3,0.9956156534682081
20260504_183529_order2,20260507_155542_order4,0.9990698310260715
20260504_183529_order2,20260510_112436_order1,0.9995328251114344
20260504_183529_order2,20260510_112937_order2,0.9992649673328343
20260504_183529_order2,20260510_113403_order3,0.9887354842125691
20260504_183529_order2,20260510_113658_order4,0.9955282591102176
20260504_183529_order2,20260510_121708_order1,0.3807498047508483
20260504_183529_order2,20260510_122126_order2,0.8852964105505826
20260504_183529_order2,20260510_122534_order3,0.7646393595919826
20260504_183529_order2,20260510_122925_order4,0.9413154105033839
20260504_183529_order2,20260510_140907_order1,0.5329731884393895
20260504_183529_order2,20260510_141947_order2,0.7600063125451179
