pair_id,session_id,order,condition_label,window_size_s,from_token,to_token,count
dyad_005,20260507_152317_order4,4,competitive,2.0,BT01,BT01,29
dyad_006,20260507_154437_order1,1,baseline,2.0,BT00,BT00,1
dyad_006,20260507_154437_order1,1,baseline,2.0,BT00,BT01,2
dyad_006,20260507_154437_order1,1,baseline,2.0,BT01,BT00,2
dyad_006,20260507_154437_order1,1,baseline,2.0,BT01,BT01,24
dyad_006,20260507_154803_order2,2,competitive,2.0,BT00,BT00,11
dyad_006,20260507_154803_order2,2,competitive,2.0,BT00,BT01,12
dyad_006,20260507_154803_order2,2,competitive,2.0,BT01,BT00,12
dyad_006,20260507_154803_order2,2,competitive,2.0,BT01,BT01,111
dyad_006,20260507_155406_order3,3,competitive,2.0,BT00,BT00,1
dyad_006,20260507_155406_order3,3,competitive,2.0,BT00,BT01,3
dyad_006,20260507_155406_order3,3,competitive,2.0,BT01,BT00,3
dyad_006,20260507_155406_order3,3,competitive,2.0,BT01,BT01,30
dyad_006,20260507_155542_order4,4,competitive,2.0,BT00,BT01,1
dyad_006,20260507_155542_order4,4,competitive,2.0,BT01,BT00,1
dyad_006,20260507_155542_order4,4,competitive,2.0,BT01,BT01,13
dyad_007,20260510_112436_order1,1,baseline,2.0,BT00,BT00,1
dyad_007,20260510_112436_order1,1,baseline,2.0,BT00,BT01,1
dyad_007,20260510_112436_order1,1,baseline,2.0,BT01,BT00,1
dyad_007,20260510_112436_order1,1,baseline,2.0,BT01,BT01,35
dyad_007,20260510_112937_order2,2,competitive,2.0,BT00,BT00,2
dyad_007,20260510_112937_order2,2,competitive,2.0,BT00,BT01,4
dyad_007,20260510_112937_order2,2,competitive,2.0,BT01,BT00,4
dyad_007,20260510_112937_order2,2,competitive,2.0,BT01,BT01,92
dyad_007,20260510_113403_order3,3,competitive,2.0,BT00,BT00,4
dyad_007,20260510_113403_order3,3,competitive,2.0,BT00,BT01,6
dyad_007,20260510_113403_order3,3,competitive,2.0,BT01,BT00,6
dyad_007,20260510_113403_order3,3,competitive,2.0,BT01,BT01,50
dyad_007,20260510_113658_order4,4,competitive,2.0,BT00,BT00,14
dyad_007,20260510_113658_order4,4,competitive,2.0,BT00,BT01,23
dyad_007,20260510_113658_order4,4,competitive,2.0,BT01,BT00,23
dyad_007,20260510_113658_order4,4,competitive,2.0,BT01,BT01,288
dyad_008,20260510_121708_order1,1,baseline,2.0,BT00,BT00,22
dyad_008,20260510_121708_order1,1,baseline,2.0,BT00,BT01,4
dyad_008,20260510_121708_order1,1,baseline,2.0,BT01,BT00,4
dyad_008,20260510_121708_order1,1,baseline,2.0,BT01,BT01,5
dyad_008,20260510_122126_order2,2,competitive,2.0,BT00,BT00,23
dyad_008,20260510_122126_order2,2,competitive,2.0,BT00,BT01,12
dyad_008,20260510_122126_order2,2,competitive,2.0,BT01,BT00,11
dyad_008,20260510_122126_order2,2,competitive,2.0,BT01,BT01,51
dyad_008,20260510_122534_order3,3,competitive,2.0,BT00,BT00,23
dyad_008,20260510_122534_order3,3,competitive,2.0,BT00,BT01,14
dyad_008,20260510_122534_order3,3,competitive,2.0,BT01,BT00,15
dyad_008,20260510_122534_order3,3,competitive,2.0,BT01,BT01,28
dyad_008,20260510_122925_order4,4,competitive,2.0,BT00,BT00,22
dyad_008,20260510_122925_order4,4,competitive,2.0,BT00,BT01,24
dyad_008,20260510_122925_order4,4,competitive,2.0,BT01,BT00,25
dyad_008,20260510_122925_order4,4,competitive,2.0,BT01,BT01,97
dyad_009,20260510_140907_order1,1,baseline,2.0,BT00,BT00,135
dyad_009,20260510_140907_order1,1,baseline,2.0,BT00,BT01,33
dyad_009,20260510_140907_order1,1,baseline,2.0,BT01,BT00,33
dyad_009,20260510_140907_order1,1,baseline,2.0,BT01,BT01,68
dyad_009,20260510_141947_order2,2,competitive,2.0,BT00,BT00,17
dyad_009,20260510_141947_order2,2,competitive,2.0,BT00,BT01,9
dyad_009,20260510_141947_order2,2,competitive,2.0,BT01,BT00,9
dyad_009,20260510_141947_order2,2,competitive,2.0,BT01,BT01,19
dyad_009,20260510_142206_order3,3,competitive,2.0,BT00,BT00,23
dyad_009,20260510_142206_order3,3,competitive,2.0,BT00,BT01,3
dyad_009,20260510_142206_order3,3,competitive,2.0,BT01,BT00,3
dyad_009,20260510_142206_order3,3,competitive,2.0,BT01,BT01,6
dyad_009,20260510_142353_order4,4,competitive,2.0,BT00,BT00,16
dyad_009,20260510_142353_order4,4,competitive,2.0,BT00,BT01,5
dyad_009,20260510_142353_order4,4,competitive,2.0,BT01,BT00,5
dyad_009,20260510_142353_order4,4,competitive,2.0,BT01,BT01,6
dyad_010,20260510_144735_order1,1,baseline,2.0,BT00,BT00,17
dyad_010,20260510_144735_order1,1,baseline,2.0,BT00,BT01,7
dyad_010,20260510_144735_order1,1,baseline,2.0,BT01,BT00,7
dyad_010,20260510_144735_order1,1,baseline,2.0,BT01,BT01,7
dyad_010,20260510_145002_order2,2,competitive,2.0,BT00,BT00,15
dyad_010,20260510_145002_order2,2,competitive,2.0,BT00,BT01,7
dyad_010,20260510_145002_order2,2,competitive,2.0,BT01,BT00,6
dyad_010,20260510_145002_order2,2,competitive,2.0,BT01,BT01,13
dyad_010,20260510_145207_order3,3,competitive,2.0,BT00,BT00,14
dyad_010,20260510_145207_order3,3,competitive,2.0,BT00,BT01,8
dyad_010,20260510_145207_order3,3,competitive,2.0,BT01,BT00,8
dyad_010,20260510_145207_order3,3,competitive,2.0,BT01,BT01,14
dyad_010,20260510_145409_order4,4,competitive,2.0,BT00,BT00,12
dyad_010,20260510_145409_order4,4,competitive,2.0,BT00,BT01,14
dyad_010,20260510_145409_order4,4,competitive,2.0,BT01,BT00,14
dyad_010,20260510_145409_order4,4,competitive,2.0,BT01,BT01,46
dyad_011,20260510_154339_order1,1,baseline,2.0,BT00,BT00,25
dyad_011,20260510_154339_order1,1,baseline,2.0,BT00,BT01,16
dyad_011,20260510_154339_order1,1,baseline,2.0,BT01,BT00,16
dyad_011,20260510_154339_order1,1,baseline,2.0,BT01,BT01,39
dyad_011,20260510_154923_order2,2,competitive,2.0,BT00,BT00,1
dyad_011,20260510_154923_order2,2,competitive,2.0,BT00,BT01,5
dyad_011,20260510_154923_order2,2,competitive,2.0,BT01,BT00,5
dyad_011,20260510_154923_order2,2,competitive,2.0,BT01,BT01,38
dyad_011,20260510_155222_order3,3,competitive,2.0,BT00,BT00,1
dyad_011,20260510_155222_order3,3,competitive,2.0,BT00,BT01,1
dyad_011,20260510_155222_order3,3,competitive,2.0,BT01,BT00,1
dyad_011,20260510_155222_order3,3,competitive,2.0,BT01,BT01,56
dyad_011,20260510_155501_order4,4,competitive,2.0,BT00,BT00,5
dyad_011,20260510_155501_order4,4,competitive,2.0,BT00,BT01,5
dyad_011,20260510_155501_order4,4,competitive,2.0,BT01,BT00,4
dyad_011,20260510_155501_order4,4,competitive,2.0,BT01,BT01,20
