pair_id,session_id,order,condition_label,window_size_s,sequence_entropy,n_tokens,n_unique_tokens
dyad_001,20260504_183351_order1,1,baseline,2.0,0.3298460673217563,33,2
dyad_001,20260504_183529_order2,2,competitive,2.0,0.15743149100195752,131,2
dyad_001,20260504_184034_order3,3,competitive,2.0,0.3227569560120082,51,2
dyad_001,20260504_184304_order4,4,competitive,2.0,0.1929000716935941,101,2
dyad_002,20260505_190850_order1,1,baseline,2.0,0.951762672749441,105,2
dyad_002,20260505_191548_order2,2,competitive,2.0,0.6394571295997742,37,2
dyad_002,20260505_191759_order3,3,competitive,2.0,0.637387496336801,31,2
dyad_002,20260505_192656_order4,4,competitive,2.0,0.925372364857052,138,2
dyad_003,20260507_134304_order1,1,baseline,2.0,0.6898740806815531,168,2
dyad_003,20260507_135022_order2,2,competitive,2.0,0.8418521868709308,37,2
dyad_003,20260507_135244_order3,3,competitive,2.0,0.9819407839787074,19,2
dyad_003,20260507_135359_order4,4,competitive,2.0,0.9456603017152501,44,2
dyad_004,20260507_141202_order1,1,baseline,2.0,0.6831200494213168,215,2
dyad_004,20260507_142235_order2,2,competitive,2.0,0.8531935223474973,194,2
dyad_004,20260507_143033_order3,3,competitive,2.0,0.9946937924759157,105,2
dyad_004,20260507_143442_order4,4,competitive,2.0,0.9544340000395749,24,2
dyad_005,20260507_151153_order1,1,baseline,2.0,0.9709505915692787,40,2
dyad_005,20260507_151733_order2,2,competitive,2.0,0.6609623322588184,70,2
dyad_005,20260507_152058_order3,3,competitive,2.0,0.8926230104997086,42,2
dyad_005,20260507_152317_order4,4,competitive,2.0,0.9288391433029313,61,2
dyad_006,20260507_154437_order1,1,baseline,2.0,0.4689955907038912,30,2
dyad_006,20260507_154803_order2,2,competitive,2.0,0.6420642863452991,147,2
dyad_006,20260507_155406_order3,3,competitive,2.0,0.48546075786052334,38,2
dyad_006,20260507_155542_order4,4,competitive,2.0,0.33729006373162385,16,2
dyad_007,20260510_112436_order1,1,baseline,2.0,0.2918182537134958,39,2
dyad_007,20260510_112937_order2,2,competitive,2.0,0.32046828452619414,103,2
dyad_007,20260510_113403_order3,3,competitive,2.0,0.6079696091206824,67,2
dyad_007,20260510_113658_order4,4,competitive,2.0,0.4877844645469195,349,2
dyad_008,20260510_121708_order1,1,baseline,2.0,0.8524051757640884,36,2
dyad_008,20260510_122126_order2,2,competitive,2.0,0.940285955785241,98,2
dyad_008,20260510_122534_order3,3,competitive,2.0,0.9972496300850807,81,2
dyad_008,20260510_122925_order4,4,competitive,2.0,0.8528579469380896,169,2
dyad_009,20260510_140907_order1,1,baseline,2.0,0.9537489849446245,270,2
dyad_009,20260510_141947_order2,2,competitive,2.0,0.997852773723488,55,2
dyad_009,20260510_142206_order3,3,competitive,2.0,0.8112781215737428,36,2
dyad_009,20260510_142353_order4,4,competitive,2.0,0.9182958311690995,33,2
dyad_010,20260510_144735_order1,1,baseline,2.0,0.9612366018374858,39,2
dyad_010,20260510_145002_order2,2,competitive,2.0,0.998363669708423,42,2
dyad_010,20260510_145207_order3,3,competitive,2.0,0.999643746792466,45,2
dyad_010,20260510_145409_order4,4,competitive,2.0,0.8935710987688008,87,2
dyad_011,20260510_154339_order1,1,baseline,2.0,0.9826807998732091,97,2
dyad_011,20260510_154923_order2,2,competitive,2.0,0.5293608624019743,50,2
dyad_011,20260510_155222_order3,3,competitive,2.0,0.2108422974331421,60,2
dyad_011,20260510_155501_order4,4,competitive,2.0,0.863120565681241,35,2
