pair_id,session_id,order,condition_label,window_size_s,sequence_entropy,n_tokens,n_unique_tokens
dyad_001,20260504_183351_order1,1,baseline,5.0,-1.4426951595367387e-09,13,1
dyad_001,20260504_183529_order2,2,competitive,5.0,0.1370994760144277,52,2
dyad_001,20260504_184034_order3,3,competitive,5.0,-1.4426951595367387e-09,20,1
dyad_001,20260504_184304_order4,4,competitive,5.0,-1.4426951595367387e-09,40,1
dyad_002,20260505_190850_order1,1,baseline,5.0,0.74959525437409,42,2
dyad_002,20260505_191548_order2,2,competitive,5.0,-1.4426951595367387e-09,14,1
dyad_002,20260505_191759_order3,3,competitive,5.0,0.6500224187629642,12,2
dyad_002,20260505_192656_order4,4,competitive,5.0,0.8184033270365806,55,2
dyad_003,20260507_134304_order1,1,baseline,5.0,0.7671903177594783,67,2
dyad_003,20260507_135022_order2,2,competitive,5.0,0.8366407390557772,15,2
dyad_003,20260507_135244_order3,3,competitive,5.0,0.9852281331488615,7,2
dyad_003,20260507_135359_order4,4,competitive,5.0,0.997502543483725,17,2
dyad_004,20260507_141202_order1,1,baseline,5.0,0.8696207711689848,86,2
dyad_004,20260507_142235_order2,2,competitive,5.0,0.9093934197873697,77,2
dyad_004,20260507_143033_order3,3,competitive,5.0,0.97366806166423,42,2
dyad_004,20260507_143442_order4,4,competitive,5.0,0.7642045036232302,9,2
dyad_005,20260507_151153_order1,1,baseline,5.0,0.33729006373162385,16,2
dyad_005,20260507_151733_order2,2,competitive,5.0,-1.4426951595367387e-09,28,1
dyad_005,20260507_152058_order3,3,competitive,5.0,0.7871265833158789,17,2
dyad_005,20260507_152317_order4,4,competitive,5.0,0.6500224187629642,24,2
dyad_006,20260507_154437_order1,1,baseline,5.0,-1.4426951595367387e-09,12,1
dyad_006,20260507_154803_order2,2,competitive,5.0,0.12565804728717744,58,2
dyad_006,20260507_155406_order3,3,competitive,5.0,-1.4426951595367387e-09,15,1
dyad_006,20260507_155542_order4,4,competitive,5.0,-1.4426951595367387e-09,6,1
dyad_007,20260510_112436_order1,1,baseline,5.0,-1.4426951595367387e-09,15,1
dyad_007,20260510_112937_order2,2,competitive,5.0,0.1654270311108768,41,2
dyad_007,20260510_113403_order3,3,competitive,5.0,0.23519337893385142,26,2
dyad_007,20260510_113658_order4,4,competitive,5.0,0.25662208475908743,139,2
dyad_008,20260510_121708_order1,1,baseline,5.0,0.74959525437409,14,2
dyad_008,20260510_122126_order2,2,competitive,5.0,0.8212809388595963,39,2
dyad_008,20260510_122534_order3,3,competitive,5.0,0.8112781215737428,32,2
dyad_008,20260510_122925_order4,4,competitive,5.0,0.6079696091206824,67,2
dyad_009,20260510_140907_order1,1,baseline,5.0,0.9577800182594471,108,2
dyad_009,20260510_141947_order2,2,competitive,5.0,0.99999999711461,22,2
dyad_009,20260510_142206_order3,3,competitive,5.0,0.74959525437409,14,2
dyad_009,20260510_142353_order4,4,competitive,5.0,0.8904916373341012,13,2
dyad_010,20260510_144735_order1,1,baseline,5.0,0.9182958311690995,15,2
dyad_010,20260510_145002_order2,2,competitive,5.0,0.9774178146427815,17,2
dyad_010,20260510_145207_order3,3,competitive,5.0,0.8524051757640884,18,2
dyad_010,20260510_145409_order4,4,competitive,5.0,0.6609623322588184,35,2
dyad_011,20260510_154339_order1,1,baseline,5.0,0.9494520125025585,38,2
dyad_011,20260510_154923_order2,2,competitive,5.0,0.2863969542305662,20,2
dyad_011,20260510_155222_order3,3,competitive,5.0,0.24988228994779546,24,2
dyad_011,20260510_155501_order4,4,competitive,5.0,0.37123232375548554,14,2
