window_size_s,condition_label,n,ngram,count
5.0,baseline,2,BT01->BT01,166
5.0,baseline,2,BT00->BT00,147
5.0,baseline,2,BT00->BT01,52
5.0,baseline,2,BT01->BT00,50
5.0,baseline,3,BT01->BT01->BT01,131
5.0,baseline,3,BT00->BT00->BT00,111
5.0,baseline,3,BT00->BT01->BT01,33
5.0,baseline,3,BT01->BT01->BT00,33
5.0,baseline,3,BT00->BT00->BT01,30
5.0,baseline,3,BT01->BT00->BT00,28
5.0,baseline,3,BT01->BT00->BT01,21
5.0,baseline,3,BT00->BT01->BT00,17
5.0,competitive,2,BT00->BT00,711
5.0,competitive,2,BT01->BT01,118
5.0,competitive,2,BT00->BT01,84
5.0,competitive,2,BT01->BT00,83
5.0,competitive,3,BT00->BT00->BT00,627
5.0,competitive,3,BT01->BT01->BT01,72
5.0,competitive,3,BT01->BT00->BT00,62
5.0,competitive,3,BT00->BT00->BT01,60
5.0,competitive,3,BT01->BT01->BT00,44
5.0,competitive,3,BT00->BT01->BT01,41
5.0,competitive,3,BT00->BT01->BT00,38
5.0,competitive,3,BT01->BT00->BT01,19
