window_size_s,pair_id,session_id,order,condition_label,behavior_token,count,frequency
5.0,dyad_001,20260504_183351_order1,1,baseline,BT00,13,1.0
5.0,dyad_001,20260504_183529_order2,2,competitive,BT00,51,0.9807692307692307
5.0,dyad_001,20260504_183529_order2,2,competitive,BT01,1,0.019230769230769232
5.0,dyad_001,20260504_184034_order3,3,competitive,BT00,20,1.0
5.0,dyad_001,20260504_184304_order4,4,competitive,BT00,40,1.0
5.0,dyad_002,20260505_190850_order1,1,baseline,BT00,33,0.7857142857142857
5.0,dyad_002,20260505_190850_order1,1,baseline,BT01,9,0.21428571428571427
5.0,dyad_002,20260505_191548_order2,2,competitive,BT00,14,1.0
5.0,dyad_002,20260505_191759_order3,3,competitive,BT00,10,0.8333333333333334
5.0,dyad_002,20260505_191759_order3,3,competitive,BT01,2,0.16666666666666666
5.0,dyad_002,20260505_192656_order4,4,competitive,BT00,41,0.7454545454545455
5.0,dyad_002,20260505_192656_order4,4,competitive,BT01,14,0.2545454545454545
5.0,dyad_003,20260507_134304_order1,1,baseline,BT00,15,0.22388059701492538
5.0,dyad_003,20260507_134304_order1,1,baseline,BT01,52,0.7761194029850746
5.0,dyad_003,20260507_135022_order2,2,competitive,BT00,4,0.26666666666666666
5.0,dyad_003,20260507_135022_order2,2,competitive,BT01,11,0.7333333333333333
5.0,dyad_003,20260507_135244_order3,3,competitive,BT00,4,0.5714285714285714
5.0,dyad_003,20260507_135244_order3,3,competitive,BT01,3,0.42857142857142855
5.0,dyad_003,20260507_135359_order4,4,competitive,BT00,8,0.47058823529411764
5.0,dyad_003,20260507_135359_order4,4,competitive,BT01,9,0.5294117647058824
5.0,dyad_004,20260507_141202_order1,1,baseline,BT00,25,0.29069767441860467
5.0,dyad_004,20260507_141202_order1,1,baseline,BT01,61,0.7093023255813954
5.0,dyad_004,20260507_142235_order2,2,competitive,BT00,25,0.3246753246753247
5.0,dyad_004,20260507_142235_order2,2,competitive,BT01,52,0.6753246753246753
5.0,dyad_004,20260507_143033_order3,3,competitive,BT00,25,0.5952380952380952
5.0,dyad_004,20260507_143033_order3,3,competitive,BT01,17,0.40476190476190477
5.0,dyad_004,20260507_143442_order4,4,competitive,BT00,7,0.7777777777777778
5.0,dyad_004,20260507_143442_order4,4,competitive,BT01,2,0.2222222222222222
5.0,dyad_005,20260507_151153_order1,1,baseline,BT00,15,0.9375
5.0,dyad_005,20260507_151153_order1,1,baseline,BT01,1,0.0625
5.0,dyad_005,20260507_151733_order2,2,competitive,BT00,28,1.0
5.0,dyad_005,20260507_152058_order3,3,competitive,BT00,13,0.7647058823529411
