window_size_s,pair_id,session_id,order,condition_label,behavior_token,count,frequency
2.0,dyad_001,20260504_183351_order1,1,baseline,BT00,2,0.06060606060606061
2.0,dyad_001,20260504_183351_order1,1,baseline,BT01,31,0.9393939393939394
2.0,dyad_001,20260504_183529_order2,2,competitive,BT00,3,0.022900763358778626
2.0,dyad_001,20260504_183529_order2,2,competitive,BT01,128,0.9770992366412213
2.0,dyad_001,20260504_184034_order3,3,competitive,BT00,3,0.058823529411764705
2.0,dyad_001,20260504_184034_order3,3,competitive,BT01,48,0.9411764705882353
2.0,dyad_001,20260504_184304_order4,4,competitive,BT00,3,0.0297029702970297
2.0,dyad_001,20260504_184304_order4,4,competitive,BT01,98,0.9702970297029703
2.0,dyad_002,20260505_190850_order1,1,baseline,BT00,39,0.37142857142857144
2.0,dyad_002,20260505_190850_order1,1,baseline,BT01,66,0.6285714285714286
2.0,dyad_002,20260505_191548_order2,2,competitive,BT00,6,0.16216216216216217
2.0,dyad_002,20260505_191548_order2,2,competitive,BT01,31,0.8378378378378378
2.0,dyad_002,20260505_191759_order3,3,competitive,BT00,5,0.16129032258064516
2.0,dyad_002,20260505_191759_order3,3,competitive,BT01,26,0.8387096774193549
2.0,dyad_002,20260505_192656_order4,4,competitive,BT00,47,0.34057971014492755
2.0,dyad_002,20260505_192656_order4,4,competitive,BT01,91,0.6594202898550725
2.0,dyad_003,20260507_134304_order1,1,baseline,BT00,137,0.8154761904761905
2.0,dyad_003,20260507_134304_order1,1,baseline,BT01,31,0.18452380952380953
2.0,dyad_003,20260507_135022_order2,2,competitive,BT00,27,0.7297297297297297
2.0,dyad_003,20260507_135022_order2,2,competitive,BT01,10,0.2702702702702703
2.0,dyad_003,20260507_135244_order3,3,competitive,BT00,11,0.5789473684210527
2.0,dyad_003,20260507_135244_order3,3,competitive,BT01,8,0.42105263157894735
2.0,dyad_003,20260507_135359_order4,4,competitive,BT00,28,0.6363636363636364
2.0,dyad_003,20260507_135359_order4,4,competitive,BT01,16,0.36363636363636365
2.0,dyad_004,20260507_141202_order1,1,baseline,BT00,176,0.8186046511627907
2.0,dyad_004,20260507_141202_order1,1,baseline,BT01,39,0.1813953488372093
2.0,dyad_004,20260507_142235_order2,2,competitive,BT00,140,0.7216494845360825
2.0,dyad_004,20260507_142235_order2,2,competitive,BT01,54,0.27835051546391754
2.0,dyad_004,20260507_143033_order3,3,competitive,BT00,57,0.5428571428571428
2.0,dyad_004,20260507_143033_order3,3,competitive,BT01,48,0.45714285714285713
2.0,dyad_004,20260507_143442_order4,4,competitive,BT00,9,0.375
2.0,dyad_004,20260507_143442_order4,4,competitive,BT01,15,0.625
2.0,dyad_005,20260507_151153_order1,1,baseline,BT00,16,0.4
2.0,dyad_005,20260507_151153_order1,1,baseline,BT01,24,0.6
2.0,dyad_005,20260507_151733_order2,2,competitive,BT00,12,0.17142857142857143
2.0,dyad_005,20260507_151733_order2,2,competitive,BT01,58,0.8285714285714286
2.0,dyad_005,20260507_152058_order3,3,competitive,BT00,13,0.30952380952380953
2.0,dyad_005,20260507_152058_order3,3,competitive,BT01,29,0.6904761904761905
2.0,dyad_005,20260507_152317_order4,4,competitive,BT00,21,0.3442622950819672
2.0,dyad_005,20260507_152317_order4,4,competitive,BT01,40,0.6557377049180327
2.0,dyad_006,20260507_154437_order1,1,baseline,BT00,3,0.1
2.0,dyad_006,20260507_154437_order1,1,baseline,BT01,27,0.9
2.0,dyad_006,20260507_154803_order2,2,competitive,BT00,24,0.16326530612244897
2.0,dyad_006,20260507_154803_order2,2,competitive,BT01,123,0.8367346938775511
2.0,dyad_006,20260507_155406_order3,3,competitive,BT00,4,0.10526315789473684
2.0,dyad_006,20260507_155406_order3,3,competitive,BT01,34,0.8947368421052632
2.0,dyad_006,20260507_155542_order4,4,competitive,BT00,1,0.0625
2.0,dyad_006,20260507_155542_order4,4,competitive,BT01,15,0.9375
2.0,dyad_007,20260510_112436_order1,1,baseline,BT00,2,0.05128205128205128
2.0,dyad_007,20260510_112436_order1,1,baseline,BT01,37,0.9487179487179487
2.0,dyad_007,20260510_112937_order2,2,competitive,BT00,6,0.05825242718446602
2.0,dyad_007,20260510_112937_order2,2,competitive,BT01,97,0.941747572815534
2.0,dyad_007,20260510_113403_order3,3,competitive,BT00,10,0.14925373134328357
2.0,dyad_007,20260510_113403_order3,3,competitive,BT01,57,0.8507462686567164
2.0,dyad_007,20260510_113658_order4,4,competitive,BT00,37,0.10601719197707736
2.0,dyad_007,20260510_113658_order4,4,competitive,BT01,312,0.8939828080229226
2.0,dyad_008,20260510_121708_order1,1,baseline,BT00,26,0.7222222222222222
2.0,dyad_008,20260510_121708_order1,1,baseline,BT01,10,0.2777777777777778
2.0,dyad_008,20260510_122126_order2,2,competitive,BT00,35,0.35714285714285715
2.0,dyad_008,20260510_122126_order2,2,competitive,BT01,63,0.6428571428571429
2.0,dyad_008,20260510_122534_order3,3,competitive,BT00,38,0.4691358024691358
2.0,dyad_008,20260510_122534_order3,3,competitive,BT01,43,0.5308641975308642
2.0,dyad_008,20260510_122925_order4,4,competitive,BT00,47,0.2781065088757396
2.0,dyad_008,20260510_122925_order4,4,competitive,BT01,122,0.7218934911242604
2.0,dyad_009,20260510_140907_order1,1,baseline,BT00,169,0.6259259259259259
2.0,dyad_009,20260510_140907_order1,1,baseline,BT01,101,0.37407407407407406
2.0,dyad_009,20260510_141947_order2,2,competitive,BT00,26,0.4727272727272727
2.0,dyad_009,20260510_141947_order2,2,competitive,BT01,29,0.5272727272727272
2.0,dyad_009,20260510_142206_order3,3,competitive,BT00,27,0.75
2.0,dyad_009,20260510_142206_order3,3,competitive,BT01,9,0.25
2.0,dyad_009,20260510_142353_order4,4,competitive,BT00,22,0.6666666666666666
2.0,dyad_009,20260510_142353_order4,4,competitive,BT01,11,0.3333333333333333
2.0,dyad_010,20260510_144735_order1,1,baseline,BT00,24,0.6153846153846154
2.0,dyad_010,20260510_144735_order1,1,baseline,BT01,15,0.38461538461538464
2.0,dyad_010,20260510_145002_order2,2,competitive,BT00,22,0.5238095238095238
2.0,dyad_010,20260510_145002_order2,2,competitive,BT01,20,0.47619047619047616
2.0,dyad_010,20260510_145207_order3,3,competitive,BT00,22,0.4888888888888889
2.0,dyad_010,20260510_145207_order3,3,competitive,BT01,23,0.5111111111111111
2.0,dyad_010,20260510_145409_order4,4,competitive,BT00,27,0.3103448275862069
2.0,dyad_010,20260510_145409_order4,4,competitive,BT01,60,0.6896551724137931
2.0,dyad_011,20260510_154339_order1,1,baseline,BT00,41,0.422680412371134
2.0,dyad_011,20260510_154339_order1,1,baseline,BT01,56,0.5773195876288659
2.0,dyad_011,20260510_154923_order2,2,competitive,BT00,6,0.12
2.0,dyad_011,20260510_154923_order2,2,competitive,BT01,44,0.88
2.0,dyad_011,20260510_155222_order3,3,competitive,BT00,2,0.03333333333333333
2.0,dyad_011,20260510_155222_order3,3,competitive,BT01,58,0.9666666666666667
2.0,dyad_011,20260510_155501_order4,4,competitive,BT00,10,0.2857142857142857
2.0,dyad_011,20260510_155501_order4,4,competitive,BT01,25,0.7142857142857143
