pair_id,session_id,order,condition_label,window_size_s,window_index,start_time_s,end_time_s,behavior_token,cluster_id
dyad_001,20260504_183351_order1,1,baseline,2.0,0,1777908831.6315384,1777908833.594505,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,1,1777908833.6315422,1777908835.5945091,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,2,1777908835.6315463,1777908837.594513,BT00,0
dyad_001,20260504_183351_order1,1,baseline,2.0,3,1777908837.63155,1777908839.5945168,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,4,1777908839.631554,1777908841.5945208,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,5,1777908841.631558,1777908843.5945246,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,6,1777908843.6315618,1777908845.5945287,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,7,1777908845.6315656,1777908847.5945325,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,8,1777908847.6315696,1777908849.5945363,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,9,1777908849.6315734,1777908851.5945404,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,10,1777908851.6315775,1777908853.5945442,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,11,1777908853.6315813,1777908855.594548,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,12,1777908855.6315851,1777908857.594552,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,13,1777908857.6315892,1777908859.5945559,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,14,1777908859.631593,1777908861.59456,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,15,1777908861.631597,1777908863.5945637,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,16,1777908863.6316009,1777908865.5945675,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,17,1777908865.6316047,1777908867.5945716,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,18,1777908867.6316087,1777908869.5945754,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,19,1777908869.6316125,1777908871.5945795,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,20,1777908871.6316164,1777908873.5945833,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,21,1777908873.6316204,1777908875.594587,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,22,1777908875.6316242,1777908877.5945911,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,23,1777908877.6316283,1777908879.594595,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,24,1777908879.631632,1777908881.5945988,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,25,1777908881.631636,1777908883.5946028,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,26,1777908883.63164,1777908885.5946066,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,27,1777908885.6316438,1777908887.5946107,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,28,1777908887.6316476,1777908889.5946145,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,29,1777908889.6316516,1777908891.5946183,BT01,1
dyad_001,20260504_183351_order1,1,baseline,2.0,30,1777908891.6316555,1777908893.5946224,BT01,1
