pair_id,session_id,order,condition_label,window_size_s,from_token,to_token,count
dyad_001,20260504_183351_order1,1,baseline,5.0,BT00,BT00,12
dyad_001,20260504_183529_order2,2,competitive,5.0,BT00,BT00,49
dyad_001,20260504_183529_order2,2,competitive,5.0,BT00,BT01,1
dyad_001,20260504_183529_order2,2,competitive,5.0,BT01,BT00,1
dyad_001,20260504_184034_order3,3,competitive,5.0,BT00,BT00,19
dyad_001,20260504_184304_order4,4,competitive,5.0,BT00,BT00,39
dyad_002,20260505_190850_order1,1,baseline,5.0,BT00,BT00,26
dyad_002,20260505_190850_order1,1,baseline,5.0,BT00,BT01,7
dyad_002,20260505_190850_order1,1,baseline,5.0,BT01,BT00,6
dyad_002,20260505_190850_order1,1,baseline,5.0,BT01,BT01,2
dyad_002,20260505_191548_order2,2,competitive,5.0,BT00,BT00,13
dyad_002,20260505_191759_order3,3,competitive,5.0,BT00,BT00,8
dyad_002,20260505_191759_order3,3,competitive,5.0,BT00,BT01,1
dyad_002,20260505_191759_order3,3,competitive,5.0,BT01,BT00,1
dyad_002,20260505_191759_order3,3,competitive,5.0,BT01,BT01,1
dyad_002,20260505_192656_order4,4,competitive,5.0,BT00,BT00,34
dyad_002,20260505_192656_order4,4,competitive,5.0,BT00,BT01,6
dyad_002,20260505_192656_order4,4,competitive,5.0,BT01,BT00,6
dyad_002,20260505_192656_order4,4,competitive,5.0,BT01,BT01,8
dyad_003,20260507_134304_order1,1,baseline,5.0,BT00,BT00,5
dyad_003,20260507_134304_order1,1,baseline,5.0,BT00,BT01,10
dyad_003,20260507_134304_order1,1,baseline,5.0,BT01,BT00,9
dyad_003,20260507_134304_order1,1,baseline,5.0,BT01,BT01,42
dyad_003,20260507_135022_order2,2,competitive,5.0,BT00,BT00,2
dyad_003,20260507_135022_order2,2,competitive,5.0,BT00,BT01,2
dyad_003,20260507_135022_order2,2,competitive,5.0,BT01,BT00,1
dyad_003,20260507_135022_order2,2,competitive,5.0,BT01,BT01,9
dyad_003,20260507_135244_order3,3,competitive,5.0,BT00,BT00,2
dyad_003,20260507_135244_order3,3,competitive,5.0,BT00,BT01,1
dyad_003,20260507_135244_order3,3,competitive,5.0,BT01,BT00,1
dyad_003,20260507_135244_order3,3,competitive,5.0,BT01,BT01,2
dyad_003,20260507_135359_order4,4,competitive,5.0,BT00,BT00,4
dyad_003,20260507_135359_order4,4,competitive,5.0,BT00,BT01,3
dyad_003,20260507_135359_order4,4,competitive,5.0,BT01,BT00,3
dyad_003,20260507_135359_order4,4,competitive,5.0,BT01,BT01,6
dyad_004,20260507_141202_order1,1,baseline,5.0,BT00,BT00,19
dyad_004,20260507_141202_order1,1,baseline,5.0,BT00,BT01,5
dyad_004,20260507_141202_order1,1,baseline,5.0,BT01,BT00,6
dyad_004,20260507_141202_order1,1,baseline,5.0,BT01,BT01,55
dyad_004,20260507_142235_order2,2,competitive,5.0,BT00,BT00,14
dyad_004,20260507_142235_order2,2,competitive,5.0,BT00,BT01,11
dyad_004,20260507_142235_order2,2,competitive,5.0,BT01,BT00,11
dyad_004,20260507_142235_order2,2,competitive,5.0,BT01,BT01,40
dyad_004,20260507_143033_order3,3,competitive,5.0,BT00,BT00,17
dyad_004,20260507_143033_order3,3,competitive,5.0,BT00,BT01,8
dyad_004,20260507_143033_order3,3,competitive,5.0,BT01,BT00,7
dyad_004,20260507_143033_order3,3,competitive,5.0,BT01,BT01,9
dyad_004,20260507_143442_order4,4,competitive,5.0,BT00,BT00,4
dyad_004,20260507_143442_order4,4,competitive,5.0,BT00,BT01,2
dyad_004,20260507_143442_order4,4,competitive,5.0,BT01,BT00,2
dyad_005,20260507_151153_order1,1,baseline,5.0,BT00,BT00,13
dyad_005,20260507_151153_order1,1,baseline,5.0,BT00,BT01,1
dyad_005,20260507_151153_order1,1,baseline,5.0,BT01,BT00,1
dyad_005,20260507_151733_order2,2,competitive,5.0,BT00,BT00,27
dyad_005,20260507_152058_order3,3,competitive,5.0,BT00,BT00,10
dyad_005,20260507_152058_order3,3,competitive,5.0,BT00,BT01,2
dyad_005,20260507_152058_order3,3,competitive,5.0,BT01,BT00,2
dyad_005,20260507_152058_order3,3,competitive,5.0,BT01,BT01,2
dyad_005,20260507_152317_order4,4,competitive,5.0,BT00,BT00,17
dyad_005,20260507_152317_order4,4,competitive,5.0,BT00,BT01,2
dyad_005,20260507_152317_order4,4,competitive,5.0,BT01,BT00,3
dyad_005,20260507_152317_order4,4,competitive,5.0,BT01,BT01,1
dyad_006,20260507_154437_order1,1,baseline,5.0,BT00,BT00,11
dyad_006,20260507_154803_order2,2,competitive,5.0,BT00,BT00,56
dyad_006,20260507_154803_order2,2,competitive,5.0,BT01,BT00,1
dyad_006,20260507_155406_order3,3,competitive,5.0,BT00,BT00,14
dyad_006,20260507_155542_order4,4,competitive,5.0,BT00,BT00,5
dyad_007,20260510_112436_order1,1,baseline,5.0,BT00,BT00,14
dyad_007,20260510_112937_order2,2,competitive,5.0,BT00,BT00,38
dyad_007,20260510_112937_order2,2,competitive,5.0,BT00,BT01,1
dyad_007,20260510_112937_order2,2,competitive,5.0,BT01,BT00,1
dyad_007,20260510_113403_order3,3,competitive,5.0,BT00,BT00,23
dyad_007,20260510_113403_order3,3,competitive,5.0,BT00,BT01,1
dyad_007,20260510_113403_order3,3,competitive,5.0,BT01,BT00,1
dyad_007,20260510_113658_order4,4,competitive,5.0,BT00,BT00,126
dyad_007,20260510_113658_order4,4,competitive,5.0,BT00,BT01,6
dyad_007,20260510_113658_order4,4,competitive,5.0,BT01,BT00,6
dyad_008,20260510_121708_order1,1,baseline,5.0,BT00,BT00,2
dyad_008,20260510_121708_order1,1,baseline,5.0,BT00,BT01,1
dyad_008,20260510_121708_order1,1,baseline,5.0,BT01,BT01,10
dyad_008,20260510_122126_order2,2,competitive,5.0,BT00,BT00,24
dyad_008,20260510_122126_order2,2,competitive,5.0,BT00,BT01,4
dyad_008,20260510_122126_order2,2,competitive,5.0,BT01,BT00,4
dyad_008,20260510_122126_order2,2,competitive,5.0,BT01,BT01,6
dyad_008,20260510_122534_order3,3,competitive,5.0,BT00,BT00,19
dyad_008,20260510_122534_order3,3,competitive,5.0,BT00,BT01,4
dyad_008,20260510_122534_order3,3,competitive,5.0,BT01,BT00,4
dyad_008,20260510_122534_order3,3,competitive,5.0,BT01,BT01,4
dyad_008,20260510_122925_order4,4,competitive,5.0,BT00,BT00,50
dyad_008,20260510_122925_order4,4,competitive,5.0,BT00,BT01,6
dyad_008,20260510_122925_order4,4,competitive,5.0,BT01,BT00,6
dyad_008,20260510_122925_order4,4,competitive,5.0,BT01,BT01,4
dyad_009,20260510_140907_order1,1,baseline,5.0,BT00,BT00,22
dyad_009,20260510_140907_order1,1,baseline,5.0,BT00,BT01,19
dyad_009,20260510_140907_order1,1,baseline,5.0,BT01,BT00,19
dyad_009,20260510_140907_order1,1,baseline,5.0,BT01,BT01,47
