session_label,dyad_id,order,actor_slot,responder_slot,actor_start_window,actor_end_window,actor_word,actor_duration_windows,immediate_other_word,immediate_other_is_wait,immediate_lag_windows,found_active_response,active_response_word,active_response_lag_windows,active_response_duration_windows,actor_event_mean_motion_energy_mean,actor_event_mean_motion_energy_max,actor_event_mean_motion_active_ratio,actor_event_mean_motion_burst_count,actor_event_mean_left_wrist_speed_mean,actor_event_mean_right_wrist_speed_mean,actor_event_mean_dominant_hand_speed_mean,actor_event_mean_left_hand_to_other_head_mean,actor_event_mean_right_hand_to_other_head_mean,actor_event_mean_closest_hand_to_other_head_mean,actor_event_mean_closest_hand_to_other_head_min,actor_event_mean_left_hand_reach_delta,actor_event_mean_right_hand_reach_delta,actor_event_mean_closest_hand_reach_delta,actor_event_mean_partner_gaze_ratio,actor_event_mean_task_gaze_ratio,actor_event_mean_gaze_switch_rate,actor_event_mean_root_distance_mean,actor_event_mean_partner_active_ratio,prev1_actor_word_global,prev1_immediate_other_word_global,prev1_response_word_global,prev2_actor_word_global,prev2_immediate_other_word_global,prev2_response_word_global,prev3_actor_word_global,prev3_immediate_other_word_global,prev3_response_word_global
20260504_183351_order1,dyad_001,1,person_A,person_B,1,2,IW09,2,IW01,True,2,True,IW08,3.0,1.0,0.4013089560616947,0.9943136117236173,0.7407407407407407,3.5,0.029734599967992048,1.497136413680477,1.4978426198511223,0.8659788279065523,0.951283883459305,0.951283883459305,0.7936717064852309,,0.4450329224726808,0.4450329224726808,0.42592592592592593,0.31481481481481477,2.596148775550769,0.7707378370878007,0.38888888888888884,START,START,START,START,START,START,START,START,START
20260504_183351_order1,dyad_001,1,person_B,person_A,1,2,IW05,2,IW01,True,2,True,IW09,3.0,1.0,0.33800920372018645,1.0327923388178035,0.38888888888888884,2.0,1.8052731482361573,0.057577641424777615,1.8055288101782825,1.1066949911461206,0.6386341388624236,0.6386341388624236,0.6109830020424454,0.5789497532838062,-0.026752843580753916,-0.026752843580753916,0.2222222222222222,0.3148148148148148,2.596148775550769,0.7707378370878007,0.7407407407407407,IW09,IW01,IW08,START,START,START,START,START,START
20260504_183351_order1,dyad_001,1,person_A,person_B,4,4,IW09,1,IW04,False,1,True,IW04,1.0,1.0,1.0993381544258554,2.7558998068324323,0.7777777777777778,2.0,0.04842989518872095,4.124725739095172,4.124725739095172,1.054127889022254,1.0178860512037657,0.9547583458510768,0.7631884504905737,,0.5192364469923918,0.5192364469923918,0.8148148148148148,0.8148148148148148,2.076919020440615,0.8621962540735414,0.14814814814814814,IW05,IW01,IW09,IW09,IW01,IW08,START,START,START
20260504_183351_order1,dyad_001,1,person_B,person_A,4,4,IW08,1,IW01,True,1,True,IW08,3.0,1.0,0.24739671929062348,0.5787829303058297,0.14814814814814814,2.0,0.9466038871227398,0.10060454554740954,0.9483394857392788,0.8261893806809296,0.729099725210111,0.729099725210111,0.6609520247684841,-0.3268331023438663,0.01989572975026821,0.01989572975026821,0.7777777777777778,0.8148148148148148,2.076919020440615,0.8621962540735414,0.7777777777777778,IW09,IW04,IW04,IW05,IW01,IW09,IW09,IW01,IW08
20260504_183351_order1,dyad_001,1,person_B,person_A,5,5,IW04,1,IW08,False,2,True,IW08,2.0,1.0,0.12322070904029807,0.23134981890344872,0.0,0.0,0.1635980926628291,0.049324136459726504,0.1673930677620154,0.7763742639839127,0.6787403170262815,0.6787403170262815,0.6083954516439354,-0.08076400706744602,-0.12181270239207442,-0.12181270239207442,0.8148148148148148,0.8888888888888888,2.076919020440615,0.8102044588395808,0.8888888888888888,IW08,IW01,IW08,IW09,IW04,IW04,IW05,IW01,IW09
20260504_183351_order1,dyad_001,1,person_B,person_A,6,7,IW10,2,IW08,False,1,True,IW08,1.0,1.0,0.22470545933020467,0.39276398163719334,0.05555555555555555,1.5,0.1602992130771116,0.2529982605643414,0.275998071979618,0.6925456055410586,0.5384871935016587,0.5384871935016587,0.4617307497013118,-0.08344563742354083,-0.17185631581906471,-0.17185631581906471,0.6296296296296295,0.6666666666666666,2.596148775550769,0.8213147523952886,0.7592592592592593,IW04,IW08,IW08,IW08,IW01,IW08,IW09,IW04,IW04
20260504_183351_order1,dyad_001,1,person_A,person_B,7,7,IW08,1,IW01,True,1,True,IW08,2.0,1.0,0.39503941028211137,2.2331425858371365,0.5925925925925926,3.0,0.4676717573397444,5.930205231516159,1.6710219479436061,0.6456134945265104,0.9422589140151804,0.6318168738366073,0.5571762214299809,-0.22578657751107456,,-0.19484638605315519,0.0,0.0,0.0,0.8549542124297758,0.07407407407407407,IW10,IW08,IW08,IW04,IW08,IW08,IW08,IW01,IW08
20260504_183351_order1,dyad_001,1,person_B,person_A,9,9,IW08,1,IW01,True,1,True,IW08,3.0,1.0,0.2203405639181176,0.39063334600791555,0.037037037037037035,1.0,0.4787808619726628,0.12127363369453317,0.4851390447535896,0.6112682685933868,0.4490646472026456,0.4472365627467472,0.4168454786700468,-0.15885094437720665,-0.0061298399666547265,-0.0061298399666547265,0.18518518518518517,0.8888888888888888,4.15383804088123,0.8897692345737247,0.07407407407407407,IW08,IW01,IW08,IW10,IW08,IW08,IW04,IW08,IW08
20260504_183351_order1,dyad_001,1,person_B,person_A,10,10,IW02,1,IW08,False,2,True,IW08,2.0,1.0,0.31702381939841173,0.5695810149328422,0.25925925925925924,2.0,0.9690658471881237,0.45535255005908887,0.969136922472715,0.6152737772028828,0.5205895755590355,0.5186911801625258,0.4168454786700468,0.3234312289327622,0.2652886431210995,0.2652886431210995,0.4444444444444444,0.6296296296296297,8.30767608176246,0.9348087193214553,0.0,IW08,IW01,IW08,IW08,IW01,IW08,IW10,IW08,IW08
20260504_183351_order1,dyad_001,1,person_A,person_B,12,12,IW08,1,IW01,True,1,True,IW07,3.0,1.0,0.1938961689402678,0.4435857811301449,0.25925925925925924,2.0,0.1625708669882575,,0.1625708669882575,0.6231360579966847,,0.6231360579966847,0.5318185651630123,-0.1806388097589009,,-0.1806388097589009,0.48148148148148145,0.25925925925925924,1.0384595102203076,0.84044556370705,0.5555555555555556,IW02,IW08,IW08,IW08,IW01,IW08,IW08,IW01,IW08
